id,covidence_id,pathogen,access_param_id,parameter_data_id,article_id,name_data_entry,parameter_type,parameter_from_figure,parameter_value,exponent,parameter_lower_bound,parameter_upper_bound,inverse_param,parameter_unit,parameter_value_type,method_from_supplement,parameter_statistical_approach,parameter_uncertainty_single_type,parameter_uncertainty_single_value,parameter_uncertainty_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_paired,parameter_2_value,exponent_2,parameter_2_lower_bound,parameter_2_upper_bound,inverse_param_2,parameter_2_unit,method_2_from_supplement,parameter_2_statistical_approach,parameter_2_uncertainty_single_value,parameter_2_uncertainty_type,parameter_2_uncertainty_lower_value,parameter_2_uncertainty_upper_value,genome_site,genomic_sequence_available,method_r,r_pathway,other_delay_start,other_delay_end,cfr_ifr_numerator,cfr_ifr_denominator,cfr_ifr_method,case_definition,seroprevalence_adjusted,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,method_disaggregated,method_disaggregated_only,method_disaggregated_by,population_sex,population_sample_size,population_sample_type,population_group,population_age_min,population_age_max,population_country,population_location,parameter_context_location_type,method_moment_value,urban_rural_area,data_available,parameter_notes,riskfactor_outcome,distribution_type,distribution_par1_type,distribution_par1_value,distribution_par2_type,distribution_par2_value,distribution_par2_uncertainty,parameter_2_value_type,parameter_2_sample_paired_lower,parameter_2_sample_paired_upper,distribution_2_type,distribution_2_par1_type,distribution_2_par1_value,distribution_2_par2_type,distribution_2_par2_value,distribution_2_par2_uncertainty,distribution_par1_uncertainty,parameter_2_uncertainty_single_type,distribution_2_par1_uncertainty,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,paramater_value_type,parameter_class,parameter_bounds,uncertainty_bounds,parameter_2_bounds,uncertainty_2_bounds,parameter_2_sample_bounds,comb_par1_uncertainty_type,comb_par1_uncertainty,comb_par2_uncertainty_type,comb_par2_uncertainty
88204ed40eb9c7517961864a2b5407bd,265,Nipah virus,037_001,a611e8f90b456a486442e7c8cb9c1204,37,Ruth McCabe,Risk factors,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,Significant,Not adjusted,NA,NA,NA,Unspecified,84,Hospital based,Persons with symptoms,13,68,Malaysia,NA,NA,Unspecified,Unspecified,Unspecified,'Other' as outcome: isolation of virus in CSF samples; 'Other' as risk factor: mortality; symptoms or treatment,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Risk factors,NA,NA,NA,NA,NA,NA,NA,NA,NA
88204ed40eb9c7517961864a2b5407bd,265,Nipah virus,037_002,8f192590acfd2dbae0d91d036705e4d2,37,Ruth McCabe,Risk factors,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sex,Other",NA,Not significant,Not adjusted,NA,NA,NA,Unspecified,84,Hospital based,Persons with symptoms,13,68,Malaysia,NA,NA,Unspecified,Unspecified,Unspecified,"'Other' as outcome: isolation of virus in CSF samples; 'Other' as risk factor: race; JE vaccination; antibody presence, CSF 'normal/abnormal'",Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Risk factors,NA,NA,NA,NA,NA,NA,NA,NA,NA
88204ed40eb9c7517961864a2b5407bd,265,Nipah virus,037_003,42b3fa3e627397d024fdcf93ddc52a9b,37,Ruth McCabe,Seroprevalence - Unspecified,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,50,NA,Unspecified,Naive,NA,NA,NA,NA,NA,NA,NA,Unspecified,50,Hospital based,Persons with symptoms,NA,NA,Malaysia,NA,NA,Unspecified,Unspecified,Unspecified,In CSF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seroprevalence,NA,NA,NA,NA,NA,NA,NA,NA,NA
88204ed40eb9c7517961864a2b5407bd,265,Nipah virus,037_004,edb4011af1ea969cd012de26e5ccd63b,37,Ruth McCabe,Seroprevalence - Unspecified,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,69,NA,Unspecified,Naive,NA,NA,NA,NA,NA,NA,NA,Unspecified,50,Hospital based,Persons with symptoms,NA,NA,Malaysia,NA,NA,Unspecified,Unspecified,Unspecified,In serum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seroprevalence,NA,NA,NA,NA,NA,NA,NA,NA,NA
88204ed40eb9c7517961864a2b5407bd,265,Nipah virus,037_005,5fbdb18e617ef9b8c9c59980f6185c13,37,Ruth McCabe,Severity - case fatality rate (CFR),FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,84,Naive,Clinically diagnosed/symptomatic,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,54,Hospital based,Mixed groups,NA,NA,Malaysia,NA,NA,Unspecified,Unspecified,Unspecified,CFR among people who were symptomatic and had a CSF sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Severity,NA,NA,NA,NA,NA,NA,NA,NA,NA
88204ed40eb9c7517961864a2b5407bd,265,Nipah virus,037_006,dfc5a8c4ad6e159d7c1199974ed20eb5,37,Ruth McCabe,Severity - case fatality rate (CFR),FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,18,Naive,Lab confirmed,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,54,Hospital based,Mixed groups,NA,NA,Malaysia,NA,NA,Unspecified,Unspecified,Unspecified,CFR among those who were symptomatic and had Nipah confirmed in CSF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Severity,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0cc30727923fabb0dfeb107627163b6,828,Nipah virus,155_001,bf670c2687bebd4773b6d2f83023c03e,155,Rhys Earl,Human delay - symptom onset>death,FALSE,NA,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,0,2,6,FALSE,Days,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,5,Contact based,Persons under investigation,25,39,India,West Bengal,NA,Post outbreak,Unspecified,NA,disaggregated by patient,NA,NA,NA,NA,NA,NA,NA,Range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,04,2007,28,04,2007,NA,Human delay,NA,NA,2 - 6,NA,NA,NA,NA,NA,NA
e0cc30727923fabb0dfeb107627163b6,828,Nipah virus,155_002,94f0df4ed2633492796517c919f675c2,155,Rhys Earl,Human delay - incubation period,FALSE,NA,0,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,Yes,NA,0,12,14,FALSE,Days,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,4,Contact based,Persons under investigation,25,39,India,West Bengal,NA,Post outbreak,Unspecified,Unspecified,sample less than 5 - disaggregated by patient,NA,NA,NA,NA,NA,NA,NA,Range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,04,2007,28,04,2007,NA,Human delay,NA,NA,12 - 14,NA,NA,NA,NA,NA,NA
e0cc30727923fabb0dfeb107627163b6,828,Nipah virus,155_003,8d5bfd224ea05b357b7d0f0b369cabd2,155,Rhys Earl,Seroprevalence - IgM,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,36,Naive,Other,NA,NA,NA,NA,NA,NA,NA,NA,Both,NA,Contact based,Persons under investigation,NA,NA,India,West Bengal,NA,Post outbreak,Unspecified,Unspecified,other - sero taken for two case patients and 34 asymptomatic contacts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,04,2007,28,04,2007,NA,Seroprevalence,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0cc30727923fabb0dfeb107627163b6,828,Nipah virus,155_004,bb446decf47f386d9a4113cc282f1151,155,Rhys Earl,Seroprevalence - IgG,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,36,Naive,Other,NA,NA,NA,NA,NA,NA,NA,NA,Both,NA,Contact based,Persons under investigation,NA,NA,India,West Bengal,NA,Post outbreak,Unspecified,Unspecified,other - sero taken from 2 cases and 34 asymptomatic contacts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,04,2007,28,04,2007,NA,Seroprevalence,NA,NA,NA,NA,NA,NA,NA,NA,NA
