id,covidence_id,pathogen,access_param_id,parameter_data_id,article_id,name_data_entry,parameter_type,parameter_from_figure,parameter_value,exponent,parameter_lower_bound,parameter_upper_bound,inverse_param,parameter_unit,parameter_value_type,method_from_supplement,parameter_statistical_approach,parameter_uncertainty_single_type,parameter_uncertainty_single_value,parameter_uncertainty_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_paired,parameter_2_value,exponent_2,parameter_2_lower_bound,parameter_2_upper_bound,inverse_param_2,parameter_2_unit,method_2_from_supplement,parameter_2_statistical_approach,parameter_2_uncertainty_single_value,parameter_2_uncertainty_type,parameter_2_uncertainty_lower_value,parameter_2_uncertainty_upper_value,genome_site,genomic_sequence_available,method_r,r_pathway,other_delay_start,other_delay_end,cfr_ifr_numerator,cfr_ifr_denominator,cfr_ifr_method,case_definition,seroprevalence_adjusted,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,method_disaggregated,method_disaggregated_only,method_disaggregated_by,population_sex,population_sample_size,population_sample_type,population_group,population_age_min,population_age_max,population_country,population_location,parameter_context_location_type,method_moment_value,urban_rural_area,data_available,parameter_notes,riskfactor_outcome,distribution_type,distribution_par1_type,distribution_par1_value,distribution_par2_type,distribution_par2_value,distribution_par2_uncertainty,parameter_2_value_type,parameter_2_sample_paired_lower,parameter_2_sample_paired_upper,distribution_2_type,distribution_2_par1_type,distribution_2_par1_value,distribution_2_par2_type,distribution_2_par2_value,distribution_2_par2_uncertainty,distribution_par1_uncertainty,parameter_2_uncertainty_single_type,distribution_2_par1_uncertainty,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,paramater_value_type,parameter_class,parameter_bounds,uncertainty_bounds,parameter_2_bounds,uncertainty_2_bounds,parameter_2_sample_bounds,comb_par1_uncertainty_type,comb_par1_uncertainty,comb_par2_uncertainty_type,comb_par2_uncertainty
e0cc30727923fabb0dfeb107627163b6,828,Nipah virus,155_005,7209802a9c344868da6925daf7302bce,155,Rhys Earl,Severity - case fatality rate (CFR),FALSE,100,0,NA,NA,FALSE,Percentage (%),Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,NA,Contact based,Persons under investigation,NA,NA,India,West Bengal,NA,Post outbreak,Unspecified,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,04,2007,28,04,2007,NA,Severity,NA,NA,NA,NA,NA,NA,NA,NA,NA
eab49b8b46abfcaecbb6c134a82611a8,883,Nipah virus,161_001,d74e6b0be11db4a247fe9fc5be232bf2,161,Rhys Earl,Seroprevalence - IgM,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,Naive,Other,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,NA,Persons under investigation,NA,NA,Bangladesh,NA,NA,Post outbreak,NA,Unspecified,"seroprevalence from 2008 outbreak, retropsectively tested.  disaggregated by case type and year isolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02,2008,NA,02,2008,NA,Seroprevalence,NA,NA,NA,NA,NA,NA,NA,NA,NA
eab49b8b46abfcaecbb6c134a82611a8,883,Nipah virus,161_002,ad050b5710ce40b63369e2fd7739bcdd,161,Rhys Earl,Seroprevalence - IgG,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,Naive,Other,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,NA,Persons under investigation,NA,NA,Bangladesh,NA,NA,Post outbreak,NA,Unspecified,"seroprevalence from 2008 outbreak, retropsectively tested.   disaggregated by case type and year isolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02,2008,NA,02,2008,NA,Seroprevalence,NA,NA,NA,NA,NA,NA,NA,NA,NA
eab49b8b46abfcaecbb6c134a82611a8,883,Nipah virus,161_003,06651f64545adc92fc14e8ef5ce61a03,161,Rhys Earl,Seroprevalence - IgM,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,17,Naive,Other,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,NA,Persons under investigation,NA,NA,Bangladesh,NA,NA,Post outbreak,NA,Unspecified,"other - seroprevalence from 2010 outbreak, retropsectively tested.   disaggregated by case type and year isolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2009,NA,03,2010,NA,Seroprevalence,NA,NA,NA,NA,NA,NA,NA,NA,NA
eab49b8b46abfcaecbb6c134a82611a8,883,Nipah virus,161_004,84d01b4ac698ead260e4780429858582,161,Rhys Earl,Seroprevalence - IgG,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,Naive,Other,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,NA,Persons under investigation,NA,NA,Bangladesh,NA,NA,Post outbreak,NA,NA,"other - seroprevalence from 2010 outbreak, retropsectively tested.   disaggregated by case type and year isolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2009,NA,03,2010,NA,Seroprevalence,NA,NA,NA,NA,NA,NA,NA,NA,NA
476771a9526c0b776b00af4e9ccc1fe3,906,Nipah virus,093_001,77b3f097e3bb46b7a181e7dafca6021d,93,Anne Cori,Severity - case fatality rate (CFR),FALSE,75,0,NA,NA,FALSE,Percentage (%),Unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,36,NA,Other,NA,NA,NA,NA,NA,FALSE,NA,NA,Both,NA,Mixed settings,Persons with symptoms,NA,NA,Bangladesh,Faridpur,district,Unspecified,NA,Not available,Denominator is lab confirmed (n = 23) + probable (n = 13) cases. Data available in figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,02,2004,17,04,2004,NA,Severity,NA,NA,NA,NA,NA,NA,NA,NA,NA
476771a9526c0b776b00af4e9ccc1fe3,906,Nipah virus,093_002,b2c120b93b09eb8855ed9892623b2e34,93,Anne Cori,Seroprevalence - Unspecified,FALSE,NA,0,NA,NA,TRUE,NA,Unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,27,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Both,NA,Mixed settings,Persons with symptoms,NA,NA,Bangladesh,Faridpur,district,Unspecified,NA,Not available,additive inverse. This is 4 SERONEGATIVE cases out of 27 tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,02,2004,17,04,2004,NA,Seroprevalence,NA,NA,NA,NA,NA,NA,NA,NA,NA
476771a9526c0b776b00af4e9ccc1fe3,906,Nipah virus,093_003,6b1c1b59bf5294a532f330b33838b608,93,Anne Cori,Severity - proportion of symptomatic cases,FALSE,100,0,NA,NA,FALSE,Percentage (%),Unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed settings,Other,NA,NA,Bangladesh,Faridpur,district,Unspecified,NA,Not available,Proportion asymptomatic is reported in the paper.Denominator is contacts of Nipah patients who gave blood specimen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,02,2004,17,04,2004,NA,Severity,NA,NA,NA,NA,NA,NA,NA,NA,NA
476771a9526c0b776b00af4e9ccc1fe3,906,Nipah virus,093_004,30b9865fa94299998d6c30172aac5997,93,Anne Cori,Risk factors,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Close contact,Environmental,Other",NA,Significant,Not adjusted,NA,NA,Level of exposure,Both,NA,Mixed settings,Other,NA,NA,Bangladesh,Faridpur,district,Unspecified,NA,Not available,NA,Infection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,02,2004,17,04,2004,NA,Risk factors,NA,NA,NA,NA,NA,NA,NA,NA,NA
476771a9526c0b776b00af4e9ccc1fe3,906,Nipah virus,093_005,fc22543cb81e10b2ee4a6a07572f8082,93,Anne Cori,Risk factors,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Close contact,NA,Significant,Adjusted,NA,NA,NA,Both,NA,Mixed settings,Other,NA,NA,Bangladesh,Faridpur,district,Unspecified,NA,Not available,NA,Infection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,02,2004,17,04,2004,NA,Risk factors,NA,NA,NA,NA,NA,NA,NA,NA,NA
476771a9526c0b776b00af4e9ccc1fe3,906,Nipah virus,093_006,4f3bceed6ab07a68552b009814814149,93,Anne Cori,Overdispersion,FALSE,22,0,NA,NA,FALSE,Max. nr. of cases superspreading (related to case),Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed settings,Other,NA,NA,Bangladesh,Faridpur,district,Unspecified,NA,Not available,"1 case-patient, patient F, was associated with 22 subsequent Nipah virus infections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,02,2004,17,04,2004,NA,Overdispersion,NA,NA,NA,NA,NA,NA,NA,NA,NA
476771a9526c0b776b00af4e9ccc1fe3,906,Nipah virus,093_007,8439c5b367098ede8a0b25c21135e213,93,Anne Cori,Risk factors,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contact with animal,Environmental,Other",NA,Not significant,Not adjusted,NA,NA,NA,NA,NA,Mixed settings,Other,NA,NA,Bangladesh,Faridpur,district,Unspecified,NA,Not available,NA,Infection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,02,2004,17,04,2004,NA,Risk factors,NA,NA,NA,NA,NA,NA,NA,NA,NA
1ece9a51d5b22562849238eb0387e07a,924,Nipah virus,184_001,8976e484792b291f19afe23e93214db4,184,Anne Cori,Risk factors,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contact with animal,Environmental,Other",NA,Significant,Not adjusted,NA,NA,NA,Both,487,Community based,NA,NA,NA,Cameroon,Villages Across The South Of Cameroon,NA,Unspecified,Rural area,Unspecified,other = butchering bats & deforestation,Serology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02,2001,NA,01,2003,NA,Risk factors,NA,NA,NA,NA,NA,NA,NA,NA,NA
1ece9a51d5b22562849238eb0387e07a,924,Nipah virus,184_002,bb3c4c275227ad23bdde84977e38d65d,184,Anne Cori,Risk factors,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,Not significant,Not adjusted,NA,NA,NA,Both,487,Community based,NA,NA,NA,Cameroon,Villages Across The South Of Cameroon,NA,Unspecified,Rural area,Unspecified,other = hunting bats,Serology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02,2001,NA,01,2003,NA,Risk factors,NA,NA,NA,NA,NA,NA,NA,NA,NA
1ece9a51d5b22562849238eb0387e07a,924,Nipah virus,184_003,7daa81efd4099ceed2a3bdbb4197c7a6,184,Anne Cori,Seroprevalence - PRNT,FALSE,3,0,NA,NA,FALSE,Percentage (%),Unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,227,Community based,Other,NA,NA,Cameroon,Villages Across The South Of Cameroon,NA,Unspecified,Rural area,Yes - as an attachment,denominator = bat-exposed individuals. we developed a VSV-based HNV envelope pseudotype particle (VSV-HNVpp) infectious SN assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02,2001,NA,01,2003,NA,Seroprevalence,NA,NA,NA,NA,NA,NA,NA,NA,NA
1ece9a51d5b22562849238eb0387e07a,924,Nipah virus,184_004,a02c1c41b6e833a7b0c5d6185fd22779,184,Anne Cori,Seroprevalence - PRNT,FALSE,0,0,NA,NA,FALSE,NA,Unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,260,Community based,Other,NA,NA,Cameroon,Villages Across The South Of Cameroon,NA,Unspecified,Rural area,Yes - as an attachment,denominator = non-bat-exposed individuals. we developed a VSV-based HNV envelope pseudotype particle (VSV-HNVpp) infectious SN assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02,2001,NA,01,2003,NA,Seroprevalence,NA,NA,NA,NA,NA,NA,NA,NA,NA
4b4a5d14b24da5dd1a883fe298e06b00,925,Nipah virus,191_001,ded28cf75af5db0fb4673bc091263112,191,Christian Morgenstern,Risk factors,FALSE,NA,0,NA,NA,FALSE,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Environmental,Other",NA,Unspecified,NA,TRUE,NA,Region,NA,NA,Other,Other,NA,NA,Thailand,NA,NA,NA,NA,Not available,spatial risk model,Spillover risk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Risk factors,NA,NA,NA,NA,NA,NA,NA,NA,NA
f055e759047d19cd096f3b763fbf9dad,947,Nipah virus,192_001,bab101dfc11cb42741ca1cd004565ec8,192,Christian Morgenstern,Severity - case fatality rate (CFR),FALSE,88,0,75,100,FALSE,Percentage (%),Mean,FALSE,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,16,Naive,Other,NA,NA,NA,NA,NA,TRUE,FALSE,Disease generation,Both,14,Community based,Persons under investigation,4,60,Bangladesh,Faridpur,district,NA,Unspecified,Not available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,01,2010,28,01,2010,NA,Severity,75 - 100,NA,NA,NA,NA,NA,NA,NA,NA
f055e759047d19cd096f3b763fbf9dad,947,Nipah virus,192_002,957a12626dd62fea0a32838d04cefd97,192,Christian Morgenstern,Human delay - symptom onset>death,FALSE,5,0,4,7,FALSE,Days,Median,FALSE,Observed sample statistic,NA,NA,NA,NA,NA,Yes,NA,0,3,17,FALSE,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Disease generation,Both,14,Community based,Persons under investigation,4,60,Bangladesh,Faridpur,district,NA,Unspecified,Not available,NA,NA,NA,NA,NA,NA,NA,NA,Range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,01,2010,28,01,2010,NA,Human delay,4 - 7,NA,3 - 17,NA,NA,NA,NA,NA,NA
