"id","covidence_id","pathogen","first_author_first_name","first_author_surname","article_title","doi","journal","year_publication","volume","issue","page_first","page_last","paper_copy_only","notes","qa_m1","qa_m2","qa_a3","qa_a4","qa_d5","qa_d6","qa_d7","covidence_id_text","double_extracted","article_label"
"94e5e0fe81a9c57d83a8118bdc7424c0",1693,"MERS-CoV","Ran-hui","Cha","Renal Complications and Their Prognosis in Korean Patients with Middle East Respiratory Syndrome-Coronavirus from the Central MERS-CoV Designated Hospital.","https://doi.org/10.3346/jkms.2015.30.12.1807","Journal Of Korean Medical Science",2015,30,NA,"1807","1814",FALSE,"Looking specifically at kidney outcomes, but includes general mortality info.","No","No","No","No","Yes","No",NA,1693,0,"Cha 2015"
"6591f6c9ed6f3d6da33b89169d9eae2a",2151,"MERS-CoV","Musa A","Garbati","A Comparative Study of Clinical Presentation and Risk Factors for Adverse Outcome in Patients Hospitalised with Acute Respiratory Disease Due to MERS Coronavirus or Other Causes.","10.1371/journal.pone.0165978","Plos One",2016,11,11,NA,NA,FALSE,NA,"Yes","No","Yes",NA,"Yes","Yes","No",2151,0,"Garbati 2016"
"b1a264cf63419fd0ea99f3bf8f0ad9ec",2221,"MERS-CoV","SY","Cho","MERS-CoV outbreak following a single patient exposure in an emergency room in South Korea: an epidemiological outbreak study","10.1016/ S0140-6736(16)30623-7","Lancet",2016,388,NA,"994","1001",FALSE,NA,"Yes","Yes","Yes","Yes","No","Yes","No",2221,0,"Cho 2016"
"aeb1aa4d5d38ef35baeed626edbc3cd5",2226,"MERS-CoV","S","Xiao","A study of the probable transmission routes of MERS-CoV during the first hospital outbreak in the Republic of Korea","10.1111/ina.12430","Indoor Air",2018,28,NA,"51","63",FALSE,"Not a high quality paper.","No","No","No","No","No","No","No",2226,0,"Xiao 2018"
"5af2150ddd8404953062779e35a2f196",2240,"MERS-CoV","JC","Hunter","Transmission of Middle East Respiratory Syndrome Coronavirus Infections in Healthcare Settings, Abu Dhabi","10.3201/eid2204.151615","Emerging Infectious Diseases",2016,22,4,"647","656",FALSE,NA,"Yes","No","Yes","No","Yes","Yes","No",2240,0,"Hunter 2016"
"175748f9891cc2adb30d3acd85bb6d8b",2254,"MERS-CoV","O","Adegboye","Individual and network characteristic associated withhospital-acquired Middle East Respiratory Syndrome coronavirus","10.1016/j.jiph.2018.12.002","Journal Of Infection And Public Health",2019,12,NA,"343","349",FALSE,NA,"No","Yes","Yes","Yes","Yes","Yes","No",2254,0,"Adegboye 2019"
"1a77fb5a079f866e02b3dbfc5fb6aa49",2257,"MERS-CoV","H","Erdem","Infections in travellers returning to Turkey from the Arabian peninsula: a retrospective cross-sectional multicenter study","10.1007/s10096-016-2614-z","European Journal Of Clinical Microbiology And Infectious Diseases",2016,35,NA,"903","910",FALSE,NA,"No","No",NA,NA,"Yes","No","No",2257,0,"Erdem 2016"
"980e3ee7de7b0943a1d08a9d3519a898",2265,"MERS-CoV","AE","Ahmed","Development of a risk-prediction model for Middle East respiratory syndrome coronavirus infection in dialysis patients","10.1111/hdi.12661","Hemodialysis International",2018,22,NA,"474","479",FALSE,NA,"No","Yes","Yes","No","Yes","Yes","No",2265,0,"Ahmed 2018"
"8071630c4fc0806191cf8fef223ce724",2271,"MERS-CoV","SH","Park","Epidemiologic Parameters of the Middle East Respiratory Syndrome Outbreak in Korea, 2015","10.3947/ic.2016.48.2.108","Infection & Chemotherapy",2016,48,2,"108","117",FALSE,NA,"Yes","No","Yes","No","Yes","Yes","No",2271,0,"Park 2016"
"a7c4dde6afa87f4fca8ec3109ede4edc",2273,"MERS-CoV","YJ","Song","Asymptomatic Middle East Respiratory Syndrome coronavirus infection using a serologic survey in Korea","10.4178/epih.e2018014","Epidemiology And Health",2018,40,NA,NA,NA,FALSE,NA,"No",NA,NA,NA,NA,"Yes",NA,2273,0,"Song 2018"
"a05f1f0e4d32bdaf50f09b40fa48056c",2277,"MERS-CoV","FS","Alhamlan","Case characteristics among Middle East respiratory syndrome coronavirus outbreak and non-outbreak cases in Saudi Arabia from 2012 to 2015","10.1136/bmjopen-2016-011865","Bmj Open",2017,7,1,NA,NA,FALSE,NA,NA,NA,NA,NA,"Yes","Yes",NA,2277,0,"Alhamlan 2017"
"f9bd23e3330219321495f4b86c460aa9",2283,"MERS-CoV","B","Alraddadi","Patient characteristics infected with Middle East respiratory syndrome coronavirus infection in a tertiary hospital","10.4103/1817-1737.180027","Annals Of Thoracic Medicine",2016,11,2,"128","131",FALSE,NA,"No",NA,NA,NA,"Yes","Yes",NA,2283,0,"Alraddadi 2016"
"af371c2c632673ae7e222aafef94f989",2289,"MERS-CoV","P","Munyua","No Serologic Evidence of Middle East Respiratory Syndrome Coronavirus Infection Among Camel Farmers Exposed to Highly Seropositive Camel Herds: A Household Linked Study, Kenya, 2013","10.4269/ajtmh.16-0880","American Journal Of Tropical Medicine And Hygiene",2017,96,6,"1318","1324",FALSE,NA,NA,NA,NA,NA,"Yes","Yes",NA,2289,0,"Munyua 2017"
"5b3dbc34cf70444ec51a4d7861123e25",2292,"MERS-CoV","I","Choi","Effects of Timely Control Intervention on the Spread of Middle East Respiratory Syndrome Coronavirus Infection","10.24171/j.phrp.2017.8.6.03","Osong Public Health And Research Perspectives",2017,8,6,"373","376",FALSE,NA,"Yes","Yes","Yes","Yes","Yes","No","Yes",2292,0,"Choi 2017"
"f09d6d864abf6adde2a342f0d7e21bf8",2294,"MERS-CoV","BJ","Cowling","Preliminary epidemiological assessment of MERS-CoV outbreak in South Korea, May to June 2015","10.2807/1560-7917.ES2015.20.25.21163","Eurosurveillance",2015,20,25,NA,NA,FALSE,NA,"No",NA,NA,"No",NA,"Yes","No",2294,0,"Cowling 2015"
"a5862c791b0355dc1d1f4a40c1c8ce8e",2316,"MERS-CoV","BM","Alraddadi","Risk Factors for Primary Middle East Respiratory Syndrome Coronavirus Illness in Humans, Saudi Arabia, 2014","10.3201/eid2201.151340","Emerging Infectious Diseases",2016,22,1,"49","55",FALSE,NA,"No","Yes",NA,NA,NA,"Yes","No",2316,0,"Alraddadi 2016"
"9e85a99198e465867cb5b7dd750b64be",2321,"MERS-CoV","Hanan H.","Balkhy","Description of a Hospital Outbreak of Middle East Respiratory Syndrome in a Large Tertiary Care Hospital in Saudi Arabia.","10.1017/ice.2016.132","Infection Control And Hospital Epidemiology",2016,37,10,"1147","1155",FALSE,NA,"Yes","Yes",NA,NA,"Yes","Yes","No",2321,0,"Balkhy 2016"
"40d578d9edd6f721859a0abc9615b174",2326,"MERS-CoV","AbdulSalam A.","Noorwali","Descriptive epidemiology and characteristics of confirmed cases of Middle East respiratory syndrome coronavirus infection in the Makkah Region of Saudi Arabia, March to June 2014.","10.5144/0256-4947.2015.203","Annals Of Saudi Medicine",2015,35,3,"203","209",FALSE,NA,"No","Yes","No",NA,"Yes","Yes","No",2326,0,"Noorwali 2015"
"856b5d3ccf1ae8fa48c89eb051de3abe",2336,"MERS-CoV","Anne","Liljander","MERS-CoV Antibodies in Humans, Africa, 2013-2014","10.3201/eid2206.160064","Emerging Infectious Diseases",2016,22,6,"1086","1089",FALSE,NA,"Yes","Yes","No","No","Yes","Yes","Yes",2336,0,"Liljander 2016"
"93ceac50614031112a230e51a62b7a5a",2350,"MERS-CoV","C. R.","Paden","Zoonotic origin and transmission of Middle East respiratory syndrome coronavirus in the UAE.","10.1111/zph.12435","Zoonoses And Public Health",2018,65,3,"322","333",FALSE,NA,"Yes","Yes","Yes","Yes","Yes","No","No",2350,0,"Paden 2018"
"fd53cb1aaad631a9d7f6deb282b1badd",2352,"MERS-CoV","Abdullah","Assiri","Multifacility Outbreak of Middle East Respiratory Syndrome in Taif, Saudi Arabia.","10.3201/eid2201.151370","Emerging Infectious Diseases",2016,22,1,"32","40",FALSE,"study across 4 hospitals (no identified) in Taif, hospital B had outbreak in dialysis unit","Yes","Yes","Yes",NA,"Yes","Yes","No",2352,0,"Assiri 2016"
"1ed0035f63829d83751c35f0497bd080",2354,"MERS-CoV","Jae-Hoon","Ko","Host susceptibility to MERS-CoV infection, a retrospective cohort study of the 2015 Korean MERS outbreak.","10.1016/j.jiac.2017.09.008","Journal Of Infection And Chemotherapy : Official Journal Of The Japan Society Of Chemotherapy",2018,24,2,"150","152",FALSE,NA,"Yes","Yes",NA,NA,"Yes","Yes","No",2354,0,"Ko 2018"
"a979d8b77d075bd1770e00ef2727536b",2356,"MERS-CoV","Deborah L.","Hastings","Outbreak of Middle East Respiratory Syndrome at Tertiary Care Hospital, Jeddah, Saudi Arabia, 2014.","10.3201/eid2205.151797","Emerging Infectious Diseases",2016,22,5,"794","801",FALSE,NA,"No","Yes","Yes","Yes","Yes","Yes","No",2356,0,"Hastings 2016"
"809fa9724d5cfa321fdffd4ea1ba3fe4",2357,"MERS-CoV","Justin","Lessler","Estimating the Severity and Subclinical Burden of Middle East Respiratory Syndrome Coronavirus Infection in the Kingdom of Saudi Arabia","10.1093/aje/kwv452","American Journal Of Epidemiology",2016,183,7,"657","663",FALSE,NA,"Yes","Yes","Yes","No","Yes","Yes","Yes",2357,0,"Lessler 2016"
"6eb65f4c26030546e72a36c64e95d229",2359,"MERS-CoV","M Allison","Arwady","Middle East Respiratory Syndrome Coronavirus Transmission in Extended Family, Saudi Arabia, 2014","10.3201/eid2208.152015","Emerging Infectious Diseases",2016,22,8,"1395","1402",FALSE,NA,"Yes","No","No","No","Yes","Yes","No",2359,0,"Arwady 2016"
"2038b28e2afd63f10f48fb569fddd4c9",2364,"MERS-CoV","Shamsudeen F.","Fagbo","Molecular Epidemiology of Hospital Outbreak of Middle East Respiratory Syndrome, Riyadh, Saudi Arabia, 2014","10.3201/eid2111.150944","Emerging Infectious Diseases",2015,21,11,"1981","1988",FALSE,NA,"Yes","Yes","Yes","Yes","Yes","No","No",2364,0,"Fagbo 2015"
"cc10c38367a6e5007c9021697bf2c9a1",2367,"MERS-CoV","Anwar E.","Ahmed","The predictors of 3- and 30-day mortality in 660 MERS-CoV patients","10.1186/s12879-017-2712-2","Bmc Infectious Diseases",2017,17,1,"615",NA,FALSE,NA,"Yes","Yes","Yes","Yes","No","Yes","No",2367,0,"Ahmed 2017"
"e0776795694a3b3e9f30ffc19deea5a6",2371,"MERS-CoV","Victor","Virlogeux","Association between Severity of MERS-CoV Infection and Incubation Period","10.3201/eid2203.151437","Emerging Infectious Diseases",2016,22,3,"526","528",FALSE,"A Dispatch article","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2371,0,"Virlogeux 2016"
