id,outbreak_data_id,covidence_id,pathogen,outbreak_duration_months,ongoing,outbreak_country,outbreak_location,outbreak_location_type,outbreak_source,pre_outbreak,cases_confirmed,cases_suspected,cases_unspecified,cases_asymptomatic,asymptomatic_transmission,cases_severe,deaths,population_size,type_cases_sex_disagg,male_cases,prop_male_cases,female_cases,prop_female_cases,outbreak_notes,cases_mode_detection,outbreak_probable,outbreak_start_day,outbreak_start_month,outbreak_start_year,outbreak_end_day,outbreak_end_month,outbreak_end_year
4d94cf9e68fa06fedadb66835a2e6e9f,835669052d0dc8f6ba6689c0b5e2f753,1150,Nipah virus,NA,NA,Bangladesh,Thakurgaon,NA,NA,NA,NA,NA,7,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2007,NA,2,2007
4d94cf9e68fa06fedadb66835a2e6e9f,b63fa4eef1fd6351f866665ff0ae6c77,1150,Nipah virus,NA,NA,Bangladesh,Kushtia; Pabna; Natore,NA,NA,NA,NA,NA,8,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2007,NA,NA,NA
4d94cf9e68fa06fedadb66835a2e6e9f,12c798bcb9d9b6c654ea54684f6e9a3c,1150,Nipah virus,NA,NA,Bangladesh,Naogaon,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2007,NA,NA,NA
4d94cf9e68fa06fedadb66835a2e6e9f,72b21cfee380e84fa620bcb540a2be78,1150,Nipah virus,NA,NA,India,Nadia,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2007,NA,NA,NA
4d94cf9e68fa06fedadb66835a2e6e9f,e2ad8c95530369679036360a8a909a20,1150,Nipah virus,NA,NA,Bangladesh,Manikgonj,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2008,NA,NA,NA
4d94cf9e68fa06fedadb66835a2e6e9f,f9d880ff8d4b89d4794633e4393b86f8,1150,Nipah virus,NA,NA,Bangladesh,Rajbari; Faridpur,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2008,NA,NA,NA
4d94cf9e68fa06fedadb66835a2e6e9f,6c548f22da8bb005b79ac12374bebca1,1150,Nipah virus,NA,NA,Bangladesh,Gaibandha; Rangpur; Nilphamari,NA,NA,NA,NA,NA,3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2009,NA,NA,NA
4d94cf9e68fa06fedadb66835a2e6e9f,b9834e1acef954327fbf52c3e52282db,1150,Nipah virus,NA,NA,Bangladesh,Rajbari,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2009,NA,NA,NA
4d94cf9e68fa06fedadb66835a2e6e9f,cea332f8c9f1119ab754331e9ffb3df7,1150,Nipah virus,NA,NA,Bangladesh,Faridpur; Rajbari;Gopalganj;Madaripur,NA,NA,NA,NA,NA,16,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2010,NA,3,2010
4d94cf9e68fa06fedadb66835a2e6e9f,c99edea3ff4bf6117d7c6ad0b79e46fa,1150,Nipah virus,NA,NA,Bangladesh,Lalmohirhat; Dinajpur; Comilla; Nilphamari; Rangpur,NA,NA,NA,NA,NA,44,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2011,NA,2,2011
4d94cf9e68fa06fedadb66835a2e6e9f,183ceaa33e7eb9fb0a197dafcad1139d,1150,Nipah virus,NA,NA,Bangladesh,Joypurhat; Rajshahi; Natore; Rajbari; Gopalganj,NA,NA,NA,NA,NA,12,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2012,NA,NA,NA
4d94cf9e68fa06fedadb66835a2e6e9f,81ecd61f367aca630e15520cbfcd787b,1150,Nipah virus,NA,NA,Bangladesh,Gaibandha; Natore; Rajshahi; Naogaon; Rajbari; Pabna; Jhenaidah; Mymensingh,NA,NA,NA,NA,NA,12,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2013,NA,2,2013
8001edbb44213ed36189908526d67fc2,c3738d8ec12007fd685c095d69cffa3b,2709,Nipah virus,NA,FALSE,Bangladesh,Barishal Division,Division,NA,Disease-free baseline,NA,NA,NA,NA,FALSE,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Confirmed + Suspected,1,NA,NA,2020,NA,NA,2020
8001edbb44213ed36189908526d67fc2,a9f94fffd0857e36d797e8fd97a5a398,2709,Nipah virus,NA,FALSE,Bangladesh,Chattogram Division,Division,Other,Disease-free baseline,NA,NA,NA,NA,FALSE,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Confirmed + Suspected,1,NA,NA,2011,NA,NA,2011
8001edbb44213ed36189908526d67fc2,1ad4e3abba98e5c39dc0f90ab6ef198e,2709,Nipah virus,NA,NA,Bangladesh,Dhaka Division,Division,NA,Disease-free baseline,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,147,NA,NA,2004,NA,NA,2021
8001edbb44213ed36189908526d67fc2,92dbcae469cd6c9b3c86572aec069c96,2709,Nipah virus,NA,FALSE,Bangladesh,Khulna Division,Division,NA,Disease-free baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,36,NA,NA,2001,NA,NA,2015
8001edbb44213ed36189908526d67fc2,320d6ba194f0cfcc4008d2f7c18fe8a7,2709,Nipah virus,NA,FALSE,Bangladesh,Mymensingh Division,Division,NA,Disease-free baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,2,NA,NA,2013,NA,NA,2013
8001edbb44213ed36189908526d67fc2,63337a1a221ed5357a08cf7f13743e42,2709,Nipah virus,NA,NA,Bangladesh,Rajshahi Division,Division,Unknown,Disease-free baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,53,NA,NA,2003,NA,NA,2021
8001edbb44213ed36189908526d67fc2,42236d4899420fde4d0ce82664d70f6f,2709,Nipah virus,NA,FALSE,Bangladesh,Rangpur Division,Division,Unknown,Disease-free baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,82,NA,NA,2004,NA,NA,2015
c10b08c437a9280f1a40f091b9d3c9c4,6b39b1c766ecb9ed4dcf7139c4988c08,2886,Nipah virus,1,FALSE,India,Kerala,State,Unknown,NA,18,NA,1,NA,FALSE,NA,21,NA,Unspecified,15,65,NA,NA,NA,Symptoms,4,2,5,2018,29,5,2018
