id,covidence_id,pathogen,first_author_first_name,first_author_surname,article_title,doi,journal,year_publication,volume,issue,page_first,page_last,paper_copy_only,notes,qa_m1,qa_m2,qa_a3,qa_a4,qa_d5,qa_d6,qa_d7,qa_notes,double_extracted,article_label
93abadd8e13530eaaa5e33371e843a78,1107,Nipah virus,JR,Pulliam,"Agricultural intensification, priming for persistence and the emergence of Nipah virus: a lethal bat-borne zoonosis.",10.1098/rsif.2011.0223,"Journal Of The Royal Society, Interface",2012,9,66,89,101,FALSE,NA,NA,NA,NA,NA,No,No,NA,"Report numbers from a previously described outbreak; Also describe models of transmission among pigs, but no human transmission component",0,Pulliam 2012
cbe05362bb1566e3ec75c46bf425f4ef,1110,Nipah virus,MA,Rahman,"Date palm sap linked to Nipah virus outbreak in Bangladesh, 2008.",10.1089/vbz.2011.0656,Vector Borne And Zoonotic Diseases,2012,12,1,65,72,FALSE,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,0,Rahman 2012
89c925d337d60054195c63017a1c5786,1115,Nipah virus,MB,Hahn,Roosting behaviour and habitat selection of Pteropus giganteus reveals potential links to Nipah virus epidemiology.,10.1111/1365-2664.12212,Journal Of Applied Ecology,2014,51,2,376,387,FALSE,Modelling bat roosting suitability and compare villages with a spillover event to those with no spillover,No,No,No,No,No,No,No,NA,0,Hahn 2014
8c66e0b82d01fb24c5e4f3155c07d358,1140,Nipah virus,ES,Gurley,"Convergence of Humans, Bats, Trees, and Culture in Nipah Virus Transmission, Bangladesh",10.3201/eid2309.161922,Emerging Infectious Diseases,2017,23,9,1446,1453,FALSE,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,0,Gurley 2017
70a5f0e729a62aacb76c4f05bdf3393b,1145,Nipah virus,MS,Islam,"Nipah Virus Transmission from Bats to Humans Associated with Drinking Traditional Liquor Made from Date Palm Sap, Bangladesh, 2011-2014",10.3201/eid2204.151747,Emerg. Infect. Dis.,2016,22,4,664,670,FALSE,NA,NA,NA,NA,NA,Yes,Yes,No,NA,0,Islam 2016
988595d77c8763bc7deddb0b21be537e,1148,Nipah virus,MC,Cortes,"Characterization of the Spatial and Temporal Distribution of Nipah Virus Spillover Events in Bangladesh, 2007-2013",10.1093/infdis/jiy015,Journal Of Infectious Diseases,2018,217,9,1390,1394,FALSE,NA,Yes,No,No,No,Yes,No,No,NA,0,Cortes 2018
4d94cf9e68fa06fedadb66835a2e6e9f,1150,Nipah virus,DD,Kulkarni,Nipah virus infection: current scenario,10.1007/s13337-013-0171-y,Indian J. Virol.,2013,24,3,398,408,FALSE,NA,No,Yes,No,No,No,No,No,NA,0,Kulkarni 2013
a84da3cca0aa2d8ed9c93cc246e3351a,1171,Nipah virus,A,Lo Presti,Origin and evolution of Nipah virus,10.1002/jmv.24345,Journal Of Medical Virology,2016,88,NA,380,388,FALSE,NA,No,Yes,Yes,Yes,Yes,No,No,NA,0,Lo Presti 2016
8001edbb44213ed36189908526d67fc2,2709,Nipah virus,Syed,Satter,"Tackling a global epidemic threat: Nipah surveillance in Bangladesh, 2006-2021",10.1371/journal.pntd.0011617,Plos Neglected Tropical Diseases,2023,17,9,NA,NA,FALSE,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,0,Satter 2023
6ec7ae6e6abeb1d0c1811e5670dd8a4d,2752,Nipah virus,Shannon,Whitmer,"Inference of Nipah virus evolution, 1999-2015",10.1093/ve/veaa062,Virus Evolution,2021,7,1,NA,NA,FALSE,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,0,Whitmer 2021
cca573b8cb678d5561fffdb581c7280a,2760,Nipah virus,Kemang,Li,Emergence and adaptive evolution of Nipah virus,10.1111/tbed.13330,Transboundary And Emerging Diseases,2020,67,NA,121,132,FALSE,NA,Yes,Yes,Yes,Yes,Yes,No,No,NA,0,Li 2020
