id,model_data_id,covidence_id,pathogen,assumptions,code_available,compartmental_type,interventions_type,model_type,stoch_deter,theoretical_model,transmission_route
02d850a072ea1dd59569aaf752da9761,1f226b9b849a6cc0a876f5c89e476e5a,223,Zika virus,NA,FALSE,Not compartmental,NA,Other,Unspecified,FALSE,NA
e6d6c0aada6f52741aa92a8da887441b,069379dfa6e42bdc5e977e70ce94ce3b,248,Zika virus,NA,FALSE,SEIR-SEI,Vector/Animal control,Compartmental,Deterministic,FALSE,Sexual;Vector/Animal to human
06ab3ef43f032c6f7ea2b82a504df78d,6bda17316090a89ba55cdddb60a6529d,268,Zika virus,Heterogenity in transmission rates - between human groups,FALSE,Other compartmental,NA,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
06ab3ef43f032c6f7ea2b82a504df78d,5516590d90012f352f3a2ea8a9563375,268,Zika virus,NA,FALSE,Other compartmental,NA,Compartmental,Deterministic,FALSE,Vector/Animal to human
ccd4f9f857a79ee26413a61b2e47752c,314822ba0082bb89eb4dc1d0ef1a6b34,367,Zika virus,Other,FALSE,Other compartmental,Vaccination,Compartmental,Unspecified,TRUE,Sexual;Vector/Animal to human
ee934959539e091ce1336413de058608,f8dc24c5e3942b02d666ab844d108992,390,Zika virus,Heterogenity in transmission rates - between human groups;Homogeneous mixing,FALSE,Other compartmental,Unspecified,Compartmental,Deterministic,FALSE,Human to human (direct contact);Vector/Animal to human
b44921073b49d6abdae772e0c41017b0,1fce95dd0059c9221c39f505a0f624ab,422,Zika virus,Heterogenity in transmission rates - between human and vector;Homogeneous mixing;Latent period is same as incubation period,FALSE,SEIR-SEI,NA,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
9c04dfe6a2f9acb363185a96d87928d1,8a2ff3446ed051f457e6bba38deaf16d,430,Zika virus,Unspecified,FALSE,Other SEIR-SEI,Unspecified,Compartmental,Deterministic,FALSE,Sexual;Vector/Animal to human
b1490b0f1b2523fb10c30de385c75868,5125c00311cf9f96ee2ff157dd597aab,454,Zika virus,NA,FALSE,SEIR-SEI,NA,Agent / Individual based;Compartmental,Stochastic,FALSE,Vector/Animal to human
e683b20d3ace5ae880e863595a7078f5,a58304129551dab7799d3e6e364920db,564,Zika virus,Other,FALSE,SEIR;SIR,NA,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
057fc032e713a1ef9855b67a09b2ee8f,e839b0e7af3f1ba235f564c2f3be949f,588,Zika virus,Cross-immunity between Zika and dengue;Homogeneous mixing;Other,FALSE,SEIR-SEI,NA,Compartmental,Deterministic;Stochastic,FALSE,Vector/Animal to human
357b0bcc353b9a317cebaf140dddb071,f6e339c8281a65063a20c81c1ef11b39,674,Zika virus,Unspecified,FALSE,Not compartmental,NA,Other,Unspecified,FALSE,Unspecified
abddad03b92b77f519b97998a106a8ac,b8e95ea535874ce4cc741776a18ac204,717,Zika virus,Heterogenity in transmission rates - between human groups,TRUE,Other compartmental,Other;Quarantine,Compartmental,Deterministic,TRUE,Human to human (direct contact)
d1c8fa74274f86b9b9d63823639839f9,e5830341bda88d1c2e7bbd80278a1fbf,729,Zika virus,Heterogenity in transmission rates - between human groups;Homogeneous mixing;Other,FALSE,Other compartmental,Vector/Animal control,Compartmental,Unspecified,FALSE,Vector/Animal to human
20b33325ec2e04f800032770a256b30e,4f69b811acfe18ebfe0a87e0f9ba0364,890,Zika virus,NA,FALSE,Not compartmental,NA,Other,Deterministic,FALSE,Sexual;Vector/Animal to human
5f51c8eb9cd239665614fd21c5cf9c68,1bf9b301a15370e50435208ea98b372d,927,Zika virus,Homogeneous mixing,FALSE,Other compartmental,NA,Other,Deterministic,TRUE,Vector/Animal to human
NA,NA,927,NA,Homogeneous mixing,FALSE,Not compartmental,NA,Other,Deterministic,FALSE,Vector/Animal to human
03e7ee71c8aef2a1e34f01c5d5270383,788d3639a3a7db6cd5560227db11bfaa,946,Zika virus,NA,TRUE,SIR,NA,Compartmental;Other,Stochastic,FALSE,Vector/Animal to human
1d346821df9d4e65b786d7ba806bd2be,6c085348941b90a69591640d7444c8ee,947,Zika virus,Heterogenity in transmission rates - over time;Homogeneous mixing;Other,TRUE,SIR,NA,Branching process,Stochastic,FALSE,Vector/Animal to human
5337632b9a6fd060ef3c1fad1bb19084,484cdff03eaad8168c37daaa58625358,1026,Zika virus,Heterogenity in transmission rates - between human and vector;Heterogenity in transmission rates - over time;Homogeneous mixing;Latent period is same as incubation period,TRUE,SEIR-SEI,Pesticides/larvicides;Vector/Animal control,Compartmental,Unspecified,FALSE,Vector/Animal to human
e578cf2b677926af400a1ab170403f1b,bfb0d5029da95a478e43964c37d88c1e,1028,Zika virus,Other,FALSE,SEIR-SEI,NA,Compartmental,Stochastic,TRUE,Human to human (direct contact);Vector/Animal to human
38febf5f0f615b804ba51b592507cfc1,e2d515b8700432d3081b4d073a1de19a,1117,Zika virus,NA,FALSE,Not compartmental,NA,Other,Unspecified,FALSE,Vector/Animal to human
29e4a48f916644f974ef1a6e242c3625,bd7cc4290e853c9fef2d3ca6d327f484,1154,Zika virus,Heterogenity in transmission rates - between human and vector;Other,TRUE,SIR,NA,Compartmental,Unspecified,FALSE,Vector/Animal to human
5d690c3245743df42d1015e299140af1,0612d426602aaa5ecc49634a4f93b77a,1308,Zika virus,Homogeneous mixing;Latent period is same as incubation period,TRUE,SIR,NA,Compartmental,Stochastic,FALSE,Vector/Animal to human
687726e7881b0ab6110aefb196ea5d73,4149f3dd21ca674803f3af3fdc45e2b8,1405,Zika virus,NA,FALSE,Other compartmental;SEIR-SEI,Vector/Animal control,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
253fef7ea118366ac336d8763a0cb6e9,4d808cd131c61dfa8eb8fc4144ac6d4a,1466,Zika virus,Other; Heterogenity in transmission rates - between human groups,FALSE,Other compartmental,NA,Compartmental,Unspecified,TRUE,Sexual;Vector/Animal to human
4baaf5040b26f9cdfdebb79638677637,070e26fd4a57fba6562fa1ec530f5a12,1467,Zika virus,Homogeneous mixing,FALSE,Other compartmental,Vector/Animal control,Compartmental,Unspecified,TRUE,Sexual;Vector/Animal to human
5ac6eec005717425a5d54755ed6e6fec,ea8dae941cde969e0e3c8b06e3fdd960,1496,Zika virus,Homogeneous mixing;Other,FALSE,SIR,NA,Compartmental,Deterministic,FALSE,Vector/Animal to human
ba5191dade90f2489e694a6db6bee7b2,f3ff623ed167401224798cb2eb8914b3,1508,Zika virus,NA,TRUE,Other compartmental,NA,Compartmental,Deterministic,FALSE,Vector/Animal to human
18ebd7552bd79306119cf025cc5a53f4,2feb5ca89bf6f0836eb040cda83a0d0c,1534,Zika virus,Heterogenity in transmission rates - between human and vector;Heterogenity in transmission rates - between human groups,FALSE,Other compartmental,NA,Compartmental,Deterministic,TRUE,Vector/Animal to human
e581278823146fa0428aaa5b586739a6,b31ec06b5582e12ccc800e7de25e32c4,1579,Zika virus,NA,FALSE,SEIR-SEI,NA,Compartmental,Deterministic,TRUE,Vector/Animal to human
5af162477267270d69bc6293da7ea5be,67be9d653538403eea1dd4a91c71378a,1618,Zika virus,Age dependent susceptibility,FALSE,SEIR-SEI,Behaviour changes;Indoor residual spraying;Pesticides/larvicides;Vector/Animal control,Agent / Individual based,Stochastic,TRUE,Sexual;Vector/Animal to human
ed2e15ef94a2a9d4d4b90d9186a7777e,37b4838fa91037d09519eeaa84126486,1821,Zika virus,NA,FALSE,Other compartmental,NA,Agent / Individual based;Compartmental,Stochastic,FALSE,Vector/Animal to human
2cf43e12080a8d80945ae79f2f2a4480,a57945787273847849a40ccc26dfbe61,1841,Zika virus,NA,FALSE,SEIR-SEI,NA,Compartmental,Unspecified,TRUE,Vector/Animal to human
ffed0ba2a0676aadae74a55fdc3b26cc,ab7c5466fc799cad4ff7c789c97dac32,1940,Zika virus,Heterogenity in transmission rates - between human and vector;Homogeneous mixing,TRUE,SEIR-SEI,NA,Compartmental,Stochastic,FALSE,Vector/Animal to human
5bd13bef70c39d31f8bac663fad395f1,f7876d278970d6dd813b98b93e9506c3,2012,Zika virus,Heterogenity in transmission rates - between human groups;Other,FALSE,Other compartmental;SEIR-SEI,Other;Pesticides/larvicides,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
3b7d08ac3817818050d283edeb09315c,a77dcdefca853f1c5dcca63c9919375a,2024,Zika virus,NA,FALSE,Not compartmental,NA,Other,Deterministic,FALSE,Human to human (direct contact)
604bcb4a5d6378c04f00e71ce805c682,13288d3bb6ef651cdf2c67b20a942384,2091,Zika virus,NA,TRUE,SEIR,NA,Compartmental,Deterministic,FALSE,Vector/Animal to human
27c21cc83210d0ff7c6aa3688e66ee12,0a2676d718fc82ab79701362d199fb45,2353,Zika virus,Homogeneous mixing;Latent period is same as incubation period;Other,FALSE,SEIR-SEI,NA,Compartmental,Deterministic,FALSE,Human to human (direct contact);Vector/Animal to human
154a08a084b22c340930bd136cdd8e15,6ef1199d140556bd33717c53dd92e242,2401,Zika virus,Heterogenity in transmission rates - between human groups;Other,FALSE,Other compartmental,NA,Compartmental,Unspecified,TRUE,Sexual;Vector/Animal to human
44d01c1eb533f5e9fdf4b9d4619f1612,9f260ace0d76496bf9ef9314b940751d,2425,Zika virus,Unspecified,FALSE,Other compartmental,Unspecified,Compartmental,Deterministic,FALSE,Human to human (direct contact)
48151471dbce544c0f85de4d013083a4,bde0132f2b4df075c51c2474464924e1,2632,Zika virus,Other,FALSE,SEIR-SEI,Hospitals,Compartmental,Deterministic,TRUE,Human to human (direct contact);Vector/Animal to human
8ec7a9c7269b262bed4e33b9566c50cb,621eb5ce89cb8f3b12a87cfc437ee0e5,2661,Zika virus,Heterogenity in transmission rates - between human and vector;Heterogenity in transmission rates - over time;Latent period is same as incubation period,TRUE,SEIR-SEI,Unspecified,Compartmental,Deterministic,TRUE,Vector/Animal to human
c63019686e1e28786319a9d0f7117799,26887a3274a2d9b1187d6e0aedcc2584,2688,Zika virus,NA,FALSE,Not compartmental,NA,Other,Deterministic,FALSE,Human to human (direct contact)
