id,model_data_id,covidence_id,pathogen,assumptions,code_available,compartmental_type,interventions_type,model_type,stoch_deter,theoretical_model,transmission_route
0f287e18f981bdd149fe002a1ca2a48c,b3958f2e78dfdd2aed39aa5781c72e5a,2777,Zika virus,Unspecified,FALSE,Not compartmental,Other,Other,Deterministic,FALSE,Vector/Animal to human
fa40bf88fc0b76ea710ed925f013eec4,832852358cd0a6b1a95173f5c57d6b44,3000,Zika virus,Other,FALSE,Not compartmental,Unspecified,Other,Stochastic,FALSE,Unspecified
1dd7ca04aa3c06b634fd95c67b0b80f3,79df493dcca2f7059a63c58cbb41a39b,3017,Zika virus,Homogeneous mixing,FALSE,Other SEIR-SEI,Vector/Animal control,Compartmental,Deterministic,FALSE,Sexual;Vector/Animal to human
85fa0e8b372a7f499bfb4f3627aa2627,c3be1cccec5f37689ecf2c7540f4767b,3039,Zika virus,Homogeneous mixing;Other,TRUE,SEIR-SEI,NA,Compartmental,Deterministic,FALSE,Vector/Animal to human
032b24a0adb1fcef718363c06289d512,4a8dba3d7b0fcb5f878d4e1bd06ae472,3042,Zika virus,NA,FALSE,Other compartmental,NA,Compartmental,Unspecified,FALSE,Vector/Animal to human
3c7015212c19dc880dcde049b8e6f577,5d4833873c59c862cf20aae3e4b5eb1c,3100,Zika virus,Other,FALSE,Other compartmental,NA,Compartmental,Deterministic,TRUE,Vector/Animal to human
6fbaf74e0996c43945ef025986b6d464,276fe0bc4abddc751756a26132d57af8,3163,Zika virus,NA,FALSE,Not compartmental,NA,Other,Unspecified,FALSE,NA
a2fb3362e26a092943c5aa3ff4a900dc,990b54ae786cf62ffc6a5f07aba524d0,3318,Zika virus,Heterogenity in transmission rates - between human groups; Other,TRUE,SEIR-SEI,Vaccination,Compartmental,Stochastic,FALSE,Sexual;Vector/Animal to human
4c2f7b4eaab6bd2ae13428909c823539,fb63ee9482841e74569a3e2c705d3695,3403,Zika virus,Unspecified,FALSE,SIR,NA,Branching process,Stochastic,FALSE,Unspecified
08fcdd723879698c5389f895062ff097,db13e223d6c987bee80597369c50d0e5,3650,Zika virus,Unspecified,FALSE,Not compartmental,NA,Branching process,Stochastic,FALSE,Unspecified
fa0bbe66675fea9886c9d46fb7dde04e,b7d64a44bc8f9db303ac98975ff20ea4,3703,Zika virus,Other,FALSE,SEIR-SEI,NA,Compartmental,Deterministic,FALSE,Vector/Animal to human
c7f143f193b3170c29121c52fb9794d9,042cd398c539c597c96cf98be8061fb2,3738,Zika virus,Cross-immunity between Zika and dengue;Heterogenity in transmission rates - between human groups;Other,TRUE,Other compartmental;SEIR-SEI,NA,Compartmental,Stochastic,FALSE,Vector/Animal to human
8f1b61a86d9428ed0df1e6dd3d9785e1,d5c739cf65e8621a5b00ce3c9b52021c,3758,Zika virus,Other,TRUE,SEIR,NA,Branching process;Compartmental,Stochastic,TRUE,Vector/Animal to human
7b4a2b94eee13c5b5494d1f38c221a6a,d625f53e22a087b4e2262161874bde44,3827,Zika virus,Other;Unspecified,FALSE,Other compartmental,NA,Compartmental,Deterministic,TRUE,Vector/Animal to human
8459ec6d4ae5e58514155468296cc082,7ddca6a950282fd8863037faa9302de0,4013,Zika virus,Unspecified,FALSE,Other compartmental,NA,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
20e93aa2aca63443778478a772fab752,91334547051dc095a6fc21c7cfb2857c,4110,Zika virus,Homogeneous mixing,FALSE,SIR,NA,Compartmental,Deterministic,FALSE,Human to human (direct contact)
c7128e22aba4fb5faf0f3c5ff5d3ff8d,5b04e614c7a06f09899ee076f87c69e7,4172,Zika virus,Homogeneous mixing;Other,FALSE,SEIR,NA,Compartmental,Deterministic,TRUE,Human to human (direct contact);Vector/Animal to human
c7128e22aba4fb5faf0f3c5ff5d3ff8d,466d4735c312ea80354f2ce47be80218,4172,Zika virus,Homogeneous mixing,FALSE,SIR,NA,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
c7128e22aba4fb5faf0f3c5ff5d3ff8d,b242faf9f72388c29d420952e2d35d24,4172,Zika virus,Homogeneous mixing;Other,FALSE,SIR,NA,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
8333fc4ca5b7a1f500c330dbfdcf5cb8,dfe25960def060831383b8b89008167f,4257,Zika virus,Homogeneous mixing,FALSE,SIR,NA,Compartmental,Deterministic,FALSE,Human to human (direct contact)
3c1d920af0a8316a79879b80e337b86e,d7fa8bdd72e7fe4b9f014f55c610aef6,4277,Zika virus,Homogeneous mixing,FALSE,Other compartmental;SIR,NA,Compartmental,Deterministic,TRUE,Vector/Animal to human
8cbc7f932ca284f25848ca2a37460ebe,680896af66c8388156271973b968d98d,4308,Zika virus,Heterogenity in transmission rates - between human groups,FALSE,Not compartmental,NA,Other,Stochastic,TRUE,Sexual
792838b6aebdeac6a4aea764ec8d041d,f32a582009994e4cec1874f5c7b8ef81,4309,Zika virus,Heterogenity in transmission rates - between human groups,FALSE,Not compartmental,NA,Other,Stochastic,TRUE,Sexual
420fb93399debcccdb2fb1294380e63f,7fa04a7820344fc0b225c37a33b9763c,4352,Zika virus,Heterogenity in transmission rates - between human groups;Other,FALSE,SEIR,Behaviour changes,Agent / Individual based,Stochastic,TRUE,Vector/Animal to human
2d83249bdf469838ffcbdef10860eb49,84480073dc8703b6459e8d340fe10351,4365,Zika virus,NA,FALSE,SEIR-SEI,Other;Vector/Animal control,Compartmental,Deterministic,TRUE,Vector/Animal to human
d96f750e1fbf2a05321dc5d398fee53f,5412b2faceed6ff030f6e561cf30524e,4371,Zika virus,Other,FALSE,Not compartmental,NA,Other,Stochastic,FALSE,Vector/Animal to human
f09eab0eada352888fb98630cc38ff3e,99c5d2e8422f857c903c8334bb1d0854,4455,Zika virus,NA,FALSE,SEIR-SEI,Insecticide-treated nets;Treatment;Vector/Animal control,Compartmental,Deterministic,TRUE,Vector/Animal to human
0f80a125c7e2266165271492f7c9cdba,67d7ec018a14a08fb69a8577800f1482,4464,Zika virus,Other,FALSE,Not compartmental,NA,Other,Unspecified,FALSE,NA
344d6ab094d4fcb8bd589c92c9317635,3c2878d6cce7750217774068e7e10241,5536,Zika virus,NA,FALSE,Other SEIR-SEI,NA,Compartmental,Deterministic,TRUE,Vector/Animal to human
ed95cfcf99fd51acd22882843871f891,1fa2cde0057df7b7f33de9653885169a,5537,Zika virus,NA,FALSE,SEIR-SEI,NA,Compartmental,Deterministic,FALSE,Sexual;Vector/Animal to human
b9ab3b2762a22ef228d6069871dad9cb,7330d6f9f158e5cabfbbb4b47cb21f2d,5538,Zika virus,NA,FALSE,Other compartmental,Behaviour changes;Vector/Animal control,Compartmental,Deterministic,FALSE,Human to human (direct contact);Sexual;Vector/Animal to human
a29af1272a3da844eb2778926a2cd651,418d9056e0753ef030b4ebfd027d63d6,5540,Zika virus,Cross-immunity between Zika and dengue,FALSE,Other compartmental;SEIR-SEI,NA,Compartmental,Deterministic,FALSE,Sexual
1221d9306a00c3854ade293083b0cf0c,7cd57984d13a39722e8acb9582469a45,5552,Zika virus,Heterogenity in transmission rates - between human and vector,FALSE,Other compartmental,NA,Other,Unspecified,TRUE,Sexual;Vector/Animal to human
b9a6c51979fb962bcf2058f2ce076e5d,1c9ca360abaf31e34352c36fac7f7081,5553,Zika virus,NA,FALSE,Other compartmental;SEIR-SEI,NA,Compartmental,Unspecified,FALSE,Sexual;Vector/Animal to human
1923d3cc7ef83ee7bb52a4858a2c67f8,3733a2fc6166f2e2b6cda9e26bf5760d,5555,Zika virus,Unspecified,FALSE,Other compartmental,NA,Compartmental,Deterministic,FALSE,Unspecified
78fab3210be6a85e82da4a89a348db28,26699be6d8876077babea6b1fb38845c,5558,Zika virus,NA,FALSE,Other compartmental,NA,Other,Unspecified,TRUE,NA
4250658cf9f43768a22d2fa27d180e6c,36bb99572f42cdf999cb175151455f20,5564,Zika virus,Homogeneous mixing,FALSE,SIR,Behaviour changes;Pesticides/larvicides;Vector/Animal control,Compartmental,Deterministic,TRUE,Human to human (direct contact);Vector/Animal to human
fd9c8257441c11d6a2307b944176fe54,067e5eecb3bba154018c703a098d00b6,5572,Zika virus,NA,FALSE,SEIR-SEI,Vaccination,Compartmental,Unspecified,FALSE,Vector/Animal to human
800f620fd7ffda80f8865eabe9a3a000,0de8cc7a870bd2eefd1f2c57a5d0b228,5575,Zika virus,Homogeneous mixing,FALSE,SEIR-SEI,NA,Compartmental,Deterministic,FALSE,Human to human (direct contact);Vector/Animal to human
9afdc166d194c8f3bbfc062247706af3,faf9d8fba3a8539754256214ab742a05,5581,Zika virus,Heterogenity in transmission rates - between human and vector;Heterogenity in transmission rates - between human groups;Other,FALSE,SIR-SI,Treatment,Compartmental,Deterministic,FALSE,Sexual;Vector/Animal to human
9d6c49468052bc01065cc59d2a88dade,7035bcc3889ceb389b3218b6990bb15c,5585,Zika virus,Homogeneous mixing,FALSE,Other compartmental,NA,Compartmental,Deterministic,FALSE,Vector/Animal to human
f4ac55723f8bbf602904b328685b6317,8ae111615621f5b5dd35901a29d46b9e,5590,Zika virus,NA,FALSE,SIR,NA,Compartmental,Deterministic,FALSE,Human to human (direct contact)
8cf0fb6405027a3832517b6cda7f6a2b,243b7ad0812f6d9339b930cce75e8643,5598,Zika virus,Heterogenity in transmission rates - over time;Homogeneous mixing,FALSE,SEIR-SEI,NA,Compartmental,Deterministic,TRUE,Vector/Animal to human
137c000dd270383b7da9c036e3615ac5,1b3773ebd2949d4f6b85ad78c9171bb3,5607,Zika virus,Other,FALSE,SIR-SI,NA,Compartmental,Deterministic,TRUE,Unspecified;Vector/Animal to human
768775dd1891ad15ecb15c251063ef20,9a2b5c3b2839b272e048565c56860073,5609,Zika virus,Cross-immunity between Zika and dengue;Homogeneous mixing,FALSE,Other compartmental,NA,Compartmental,Stochastic,FALSE,Vector/Animal to human
56d339cfb42880921d64b0240691abf0,b7fcfcd63d8c138b3c520b01b621e58d,5612,Zika virus,Heterogenity in transmission rates - between human and vector;Homogeneous mixing;Other,FALSE,Other compartmental,NA,Compartmental,Deterministic,FALSE,Human to human (direct contact);Sexual;Vector/Animal to human
bc7b79b10957df6f54f572bd3a1155a0,de788e06099d79ba5177844ae3ed828a,5619,Zika virus,Homogeneous mixing;Other,FALSE,SEIR-SEI,Insecticide-treated nets;Other;Quarantine;Vector/Animal control,Compartmental,Deterministic,FALSE,Vector/Animal to human
d960c469d001114c3d237a33bbbe6381,a62d76c96530cc1580718bee154db990,5621,Zika virus,NA,FALSE,Not compartmental,NA,Other,Unspecified,FALSE,NA
00bd0cd3dba8ec462dfb0cb492072050,7f45e17508669e6a8f163b9ecf69f357,5622,Zika virus,Latent period is same as incubation period,FALSE,SEIR,NA,Compartmental,Deterministic,TRUE,Vector/Animal to human
fa3aab40e326284b5f49c68071232d12,e4ac4865662f52f5ec5d3826ae74ecdc,5627,Zika virus,Heterogenity in transmission rates - between human and vector;Other,FALSE,Other compartmental,NA,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
336ba500717c938ecc4f6d33e9273b15,450745a116fdd8fe68f2863556dfeeae,5640,Zika virus,NA,FALSE,Not compartmental,NA,Other,Unspecified,TRUE,NA
7aa999a8e68433034c65f8cd908ef48f,8df491d056a212bf5cc3d1bba30a55f6,5645,Zika virus,Homogeneous mixing,FALSE,SEIR-SEI,NA,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
38dc7267b4dec7f3e5fe76c380c54f9a,6a0de265a48705ff553147e9cd418b08,5647,Zika virus,Heterogenity in transmission rates - between human and vector;Other,FALSE,Other compartmental,NA,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
42764fa13d4b9fe818e47290166b25df,bf2c5bf85e9db4a8c7c4ec486086c25c,5648,Zika virus,Other,FALSE,SEIR-SEI,NA,Compartmental,Deterministic,TRUE,Vector/Animal to human
c7944da5df9118801be4799d8d2b5137,4c290d1f4fe7a44777e33ef84363e8d3,5658,Zika virus,Heterogenity in transmission rates - between human and vector;Other,FALSE,Other compartmental,NA,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
6d23039791ea672d02fc84a00d9cf786,e48e7708059c1b76a816bebe58960ffc,5665,Zika virus,Homogeneous mixing;Latent period is same as incubation period,FALSE,SEIR-SEI,Other;Pesticides/larvicides;Treatment,Compartmental,Deterministic,FALSE,Vector/Animal to human
151459a0987acb0369d37fe9ec78d14a,c4f418ef8d059210b117bd97afbfad6b,5671,Zika virus,NA,FALSE,Not compartmental,NA,Other,Unspecified,FALSE,Human to human (direct contact)
a1978ccf8e1d73ae5cf632eaed6080ed,266a2dc5b0b5f508d1ed041fde0755cd,5675,Zika virus,Heterogenity in transmission rates - between human and vector;Homogeneous mixing,FALSE,Other compartmental;SIR,Behaviour changes;Treatment;Vector/Animal control,Compartmental,Unspecified,FALSE,Vector/Animal to human
410a51cd70bd26159724c8ede09ce6a6,86d56d545e59087cb68ea3be4dd7ba94,5680,Zika virus,NA,FALSE,Other compartmental,Insecticide-treated nets;Treatment;Vector/Animal control,Compartmental,Unspecified,TRUE,Human to human (direct contact);Vector/Animal to human
ddc8c7c933e50dc3d054014e362031d2,2cb5166ace374f36f5e8a793023ef821,5685,Zika virus,Latent period is same as incubation period,FALSE,Other compartmental,NA,Compartmental,Deterministic,TRUE,Vector/Animal to human
1c52470ea504f92323e75c918fc35e06,ec6f90bf9b3ae0746eb2fce4b13578e3,5688,Zika virus,Heterogenity in transmission rates - between human and vector;Heterogenity in transmission rates - between human groups,FALSE,SEIR-SEI,Behaviour changes;Insecticide-treated nets;Vector/Animal control,Compartmental,Deterministic,FALSE,Sexual;Vector/Animal to human
3516cf2cbd825261eabb28c2557e1efc,b97a3b5332fc3c629e21bb0a2e50625a,5699,Zika virus,Homogeneous mixing,FALSE,Other compartmental,Other,Compartmental,Deterministic,FALSE,Vector/Animal to human
b0956ea956963e16e102f98fff48dbe2,8ed3e535b6ca13d49d873e1c45fd49ef,5700,Zika virus,Homogeneous mixing;Unspecified,FALSE,SIR-SI,NA,Compartmental,Deterministic,TRUE,Human to human (direct contact);Vector/Animal to human
5674f13fdb73ea03c6fe41df24487604,3b071e122aa1e8bc1c19ccfc83e6e0a1,5705,Zika virus,Unspecified,FALSE,SEIR-SEI,Unspecified,Compartmental;Other,Unspecified,TRUE,Vector/Animal to human
57c2620039f004ce04c01f3d3fba63d1,bab6e9a42c3e642b2719d7f30a873590,5709,Zika virus,Unspecified,FALSE,Other compartmental,NA,Compartmental,Deterministic,TRUE,Vector/Animal to human
cbb3a8905b43605a4dddbe3d5ab7ab2b,577e710f63f0f8e7800d18b6e36bf778,5711,Zika virus,Unspecified,FALSE,SEIR-SEI,Insecticide-treated nets;Other;Treatment,Compartmental,Stochastic,TRUE,Sexual;Vector/Animal to human
a0c5248c9ea2271c9e77bbc367f5ccc1,89c2ddb512b5e9d7a594b7c743577a86,5716,Zika virus,Unspecified,FALSE,SEIR-SEI,Unspecified,Compartmental,Unspecified,FALSE,Human to human (direct contact);Vector/Animal to human
9da3cd4616b44ccd9c75cb4e61c9e744,47dabd546437abf7724b6a952af3a3c8,5725,Zika virus,Unspecified,FALSE,Other compartmental;SEIR-SEI,NA,Compartmental,Deterministic,TRUE,Vector/Animal to human
2599a36ae415cdbe46ec314cb625f772,7fa296c69a23a0db40030068077e2ee5,5744,Zika virus,Unspecified,FALSE,SIR-SI,Other,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
3453c3996c4ccc158f716eab68fd9fc3,fff5f584dce4aa0668cccf56e03d4589,5747,Zika virus,Homogeneous mixing,FALSE,SIRS-SI,Other;Pesticides/larvicides,Compartmental,Deterministic,TRUE,Vector/Animal to human
cadfb5c0dbdd872d0e3a31083e3dd248,aea39ba6ff930b5dc8ffbc40129a9ba9,5772,Zika virus,Unspecified,FALSE,SEIR-SEI,Treatment;Vaccination,Compartmental,Deterministic,TRUE,Human to human (direct contact);Vector/Animal to human
d563dfd54dba49c93ecc5bad8e1688a3,b916083b94fd24b0694415e961f8b927,5773,Zika virus,Unspecified,FALSE,SIR-SI,Behaviour changes;Other,Branching process,Stochastic,TRUE,Vector/Animal to human
d563dfd54dba49c93ecc5bad8e1688a3,312cab8bea0ef05c02bdf4cc3d51ba2e,5773,Zika virus,Unspecified,FALSE,SIR-SI,Behaviour changes;Other,Compartmental,Deterministic,TRUE,Vector/Animal to human
16ed564083564453be58cab7dfef7dd3,8d411d0ea3cddfb2dd5320f222d96889,5776,Zika virus,Unspecified,FALSE,SIR-SEI,Vaccination,Compartmental,Deterministic,TRUE,Human to human (direct contact);Vector/Animal to human
14c887e4b4eebcc3fdb5a67482d8a089,7eba2d7d9ab9757ee23e7e07dab340d9,5778,Zika virus,Unspecified,FALSE,Other compartmental,Behaviour changes;Other;Treatment,Compartmental,Deterministic,TRUE,Sexual;Vector/Animal to human
f8cb18abb96b4777b629c3dd9300a696,8395c12831f9af1245ecbd248382b179,5780,Zika virus,Unspecified,FALSE,SEIR-SEI,NA,Compartmental,Deterministic,TRUE,Human to human (direct contact);Vector/Animal to human
f8cb18abb96b4777b629c3dd9300a696,57b633ccf87dae1aee83862baed571e4,5780,Zika virus,Unspecified,FALSE,SEIR-SEI,NA,Compartmental,Stochastic,TRUE,Human to human (direct contact);Vector/Animal to human
fd2f8402cf25a9b6faaa0068701d40ef,a3fcdded544b56ae2ece58aad34db6bb,5788,Zika virus,Unspecified,FALSE,SEIR-SEI,Unspecified,Compartmental,Deterministic,TRUE,Vector/Animal to human
f499afd4e6b054d6bd6a614f4c472307,2f87f299644c4db0cb05a9b28d1dd3ec,5800,Zika virus,Other,FALSE,SIR-SI,Vaccination,Compartmental,Deterministic,FALSE,Sexual;Vector/Animal to human
