"id","model_data_id","covidence_id","pathogen","model_type","compartmental_type","stoch_deter","theoretical_model","interventions_type","model_uncertainty","model_spatial","model_spillover","code_available","transmission_route","assumptions"
"12f8403cd6bc2015e4ec5d13e3747d23","19ee3bf741c5b69233497f6e430c5c6f",11964,"MERS-CoV","Compartmental","SEIR","Deterministic model",FALSE,"Vaccination,Treatment,Behaviour changes",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing,Latent period is same as incubation period,Heterogenity in transmission rates - over time,Other"
"a5348d764b180a755f3f2b5df4cd6ed5","cda4b397d8b5322d6e560b354a42129c",12275,"MERS-CoV","Compartmental","SIR","Deterministic model",FALSE,NA,FALSE,FALSE,FALSE,TRUE,"Human to human (direct contact)","Heterogenity in transmission rates - over time,Other"
"536e7f63082586e6ece3ae8dbc06ff6e","66480b10ac88c2efacbb976256e87dc8",12445,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,"Hospitals,Other",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Other"
"de67be492847ecf967ab49c4e4c17c0e","1eb201798263f14ac8907455a4401857",13683,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,"Treatment,Behaviour changes",TRUE,FALSE,FALSE,FALSE,"Unspecified","Unspecified"
"ebd32131f0647c30e8ff639602e8ca69","5b903c6a087b1f0949c3dae8e4e640fa",14012,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,"Quarantine,Treatment,Behaviour changes",FALSE,FALSE,TRUE,FALSE,"Airborne or close contact,Vector/Animal to human","Other"
"7aa0706888865675bf8061ba7d325c53","fc3794ada09c1bbd5a59307d537aaa9a",14202,"MERS-CoV","Branching process","Not compartmental","Stochastic model",FALSE,"Unspecified",TRUE,FALSE,FALSE,FALSE,"Unspecified","Other"
"ef7d2dd5f3b28f28d804c666f605f6b5","a157641f084978cc9ab01d0d75671e99",14250,"MERS-CoV","Other","Not compartmental","Deterministic model",FALSE,"Unspecified",FALSE,FALSE,FALSE,FALSE,"Unspecified","Unspecified"
"4c49bf7e6ae1d70e54466f46accf5b29","5f053ea1bcf94f8f5fc6ceb8919d85ff",14258,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",FALSE,"Hospitals,Behaviour changes",TRUE,FALSE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Heterogenity in transmission rates - between human groups,Heterogenity in transmission rates - over time"
"c07c5df763ec0a5d667a3dbed57e2569","48541c8e2b1d580c637ebeb64f8e4829",14333,"MERS-CoV","Agent / individual based","Not compartmental","Stochastic model",TRUE,"Other",TRUE,TRUE,FALSE,NA,"Unspecified","Unspecified"
"e54791d22a1d4d8afcc6d7e8edd38a42","a018cdb96ecc87fe0c090d540fa60514",14350,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",FALSE,"Quarantine,Other",TRUE,TRUE,FALSE,FALSE,"Airborne or close contact,Human to human (direct contact)","Heterogenity in transmission rates - between human groups,Heterogenity in transmission rates - over time"
"ccf230a0c924209eb6d69f8faa3f0a6f","96b268da7a91f4898c41d82c97ac5c2f",14354,"MERS-CoV","Agent / individual based","SEIR","Stochastic model",TRUE,"Quarantine",TRUE,TRUE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing,Latent period is same as incubation period"
"a2916b45f20ca0a4f90f0e105f504912","9ef46aa26d8b9ce35ace42379676d7bf",14394,"MERS-CoV","Other","Not compartmental","Stochastic model",TRUE,"Vaccination",FALSE,FALSE,FALSE,TRUE,"Human to human (direct contact)",NA
"c9bb4f1a286dc9ab05b9417cbd6e8dc9","b6967d1abaccc9f98a014df1c9ab69a8",14548,"MERS-CoV","Compartmental","SIS","Deterministic model",TRUE,"Unspecified",FALSE,TRUE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Heterogenity in transmission rates - between human groups,Heterogenity in transmission rates - between human and vector"
"adcbcd2988a733060f79fcdcece12168","915d10c7ca546f0095573ca01580d070",14823,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",FALSE,"Vector/Animal control,Behaviour changes",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact),Vector/Animal to human","Homogeneous mixing"
"adcbcd2988a733060f79fcdcece12168","65f36eece401f06969c5f696080804d6",14823,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,"Vaccination,Vector/Animal control,Behaviour changes",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact),Vector/Animal to human","Homogeneous mixing"
"ceca0138a0e89da992d99941bfdde9d0","b6eadea59f5ae115e77b5ae7c846f096",14884,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"ceca0138a0e89da992d99941bfdde9d0","b7f6637c78bb101c70bb14dcf1ebf56b",14884,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact),Vector/Animal to human","Homogeneous mixing"
"d719bd633601998463f82ccd4ebb8f71","849ec8d621e654efd517403f1794901d",14967,"MERS-CoV","Branching process","Not compartmental","Stochastic model",FALSE,"Vaccination,Vector/Animal control",TRUE,TRUE,TRUE,TRUE,"Human to human (direct contact)","Homogeneous mixing"
"307243aa0cb53ea77c02b0700c441c4e","589822d997efa570fd7f481c9e491755",15376,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,"Quarantine,Other",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact),Vector/Animal to human","Homogeneous mixing,Other"
"c6cae9ec0a55a073e5aba7799fdf9bfb","6cf2ec497048a34e73472cd6cd44e845",15422,"MERS-CoV","Compartmental","SIR","Deterministic model",TRUE,NA,FALSE,FALSE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Homogeneous mixing"
"1fa53219906ec424a2944d5c5ce999dc","786c2a37c10b8443ea13a6329e61a229",15473,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"f12006b71acafe3a8318a40623f85ed8","6bc06708533d4e67185455212da4dab4",15723,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Heterogenity in transmission rates - between human groups,Other"
"a84eac9fd5c7ad34a022d1721ec53b1c","a519f0745bbcd24ea94f7f666a9a18db",15739,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,"Other",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"5f36628d2eaefea34a1a68843fba5ae5","c20710f9b94287917e5b7a5a21e9e9ad",15962,"MERS-CoV","Compartmental","Other compartmental, please specify","Stochastic model",FALSE,"Quarantine",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Heterogenity in transmission rates - between human groups"
"44519bad4af0a9d7f4ceb7551ae47afc","74f364ef91cfa8514a523fec32737f15",16547,"MERS-CoV","Branching process","Not compartmental","Stochastic model",FALSE,NA,TRUE,FALSE,FALSE,TRUE,"Human to human (direct contact)","Heterogenity in transmission rates - over time"
"a5597b97d4b01a191a8c12906ce9b86a","e2a14a193a42aaa508422112550f6a15",16746,"MERS-CoV","Branching process",NA,"Stochastic model",FALSE,NA,FALSE,TRUE,FALSE,FALSE,"Human to human (direct contact)","Other"
"41c148de28bdbe95bd0c11391097e534","6c442e480bb7965a09b18fbc839a2d5c",17242,"MERS-CoV","Compartmental","SIR","Stochastic model",TRUE,"Treatment",TRUE,FALSE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Homogeneous mixing"
"649eee668379ba7a126e4e03a496320b","ebda82dbadbe3055ac445c09e3023349",19050,"MERS-CoV","Other","SEIR","Stochastic model",TRUE,"Hospitals",TRUE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"38acf27efa3cabf0c635805bb4294cbf","59d89c99a1e33ebd9a2015c6a89c9253",20206,"MERS-CoV","Compartmental","SIS","Deterministic model",TRUE,"Vaccination",FALSE,FALSE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Heterogenity in transmission rates - between human groups,Heterogenity in transmission rates - between human and vector,Heterogenity in transmission rates - over time"
"4cb82741a1ec6a865ed71c8c4f707562","caba0b3561a1925d46ef8e27b3b04938",20272,"MERS-CoV","Compartmental","SEIR","Deterministic model",TRUE,"Treatment,Hospitals",TRUE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing,Latent period is same as incubation period"
"862a4281b1bf08af716cbac6df112cd2","1740136ebcbfe26fe6d0c8ebede7a534",20323,"MERS-CoV","Compartmental","SEIR","Deterministic model",TRUE,"Unspecified",FALSE,FALSE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Homogeneous mixing"
"47c452c0540cb88cf24df863fb34fc77","2162d88eaca915f72e3ad8907e8c414a",20328,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,"Hospitals",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"a323bfc50f5ad25897405430583c9daa","30b72cb683b8a96beb742ba41f2d169e",20408,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,"Hospitals",FALSE,FALSE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Heterogenity in transmission rates - between human and vector"
"912ab26bc1223c488967a682e629a00c","67bbd0dd8c6aa902e30e39ce408de4a0",20418,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,"Unspecified",FALSE,FALSE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Heterogenity in transmission rates - between human and vector"
"07c18f837454202a7f1a90ffac57d4df","323d26c221671660d14f33d02758ff9f",20494,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,"Unspecified",FALSE,FALSE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Heterogenity in transmission rates - between human and vector"
"af00fa11b8e2549e5650793900d410fd","95514ee9f5aebb89459679f5d10625fc",20586,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,"Unspecified",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"70825e98fd3f65a9792bad9f5891989e","bb8b82316214bc6dabec780f2cdff66c",20925,"MERS-CoV","Compartmental","SEIR","Deterministic model",TRUE,"Quarantine,Other",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"6bd488e4c38f05be46c790caf2dc8f23","db345f2cf1ca32d1e7d8c22ba8d5a2ee",21093,"MERS-CoV","Compartmental","SEIR","Deterministic model",TRUE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"cdd7836c8856fd5b6b579874312b44dc","c2f82f29ac3548c194aa03cbdf85c39f",21095,"MERS-CoV","Compartmental","SEIR","Deterministic model",TRUE,"Quarantine,Other",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"374dabde39b1ffcd6fde3e8a20d6391e","b0b367108042c24e1425ad039658bbf6",21134,"MERS-CoV","Compartmental","SEIR","Deterministic model",TRUE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact),Vector/Animal to human","Homogeneous mixing"
"fba9ab28c391c564fea3904f05a18c55","46edb8399a8ce42ecdee7964d13f86c5",21146,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,NA,FALSE,FALSE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Homogeneous mixing"
"0594a610454e5e49fce77205f73c5b6e","455641bf6fcc23b6f89c48801fe3a7ff",21438,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,"Unspecified",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact),Vector/Animal to human","Heterogenity in transmission rates - between human and vector,Unspecified"
"8cf374c59e6207bc4f7a87baee1d44f8","f3f4eebc46a959f18b9a3a59f413ea96",21532,"MERS-CoV","Compartmental","SEIR","Deterministic model",FALSE,"Quarantine",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"7850359b504b9e08c41bf22046aa096f","ce9746a26ba75a9efdfb8642fce0aa15",21676,"MERS-CoV","Compartmental","SEIR","Deterministic model",TRUE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"4a9f95fdd922bda8cc23b7b5546b957a","43b9e3757953d5096724abf0cd5f6676",22036,"MERS-CoV","Compartmental","SEIR","Deterministic model",TRUE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact),Vector/Animal to human","Homogeneous mixing,Other"
"d35b0defa982ef76ad5e6b33b36f6016","3e59ba068a87e3469ed06c3311554741",24283,"MERS-CoV","Compartmental","SEIR","Stochastic model",FALSE,NA,TRUE,FALSE,FALSE,TRUE,"Unspecified","Heterogenity in transmission rates - between human groups"
"592ad6d395b92d4a63fcd4d08dac46e4","829a7c277335157d34e3a450719b9890",1549,"MERS-CoV","Branching process","Not compartmental","Stochastic model",FALSE,"Unspecified",TRUE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Heterogenity in transmission rates - between human groups,Heterogenity in transmission rates - over time"
"74c1f5f68a9c1104d4d9e1238dccf351","0b7591efebdf12534202e0c7b450609c",1594,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",FALSE,"Quarantine,Contact tracing",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Heterogenity in transmission rates - over time"
"5f963dfe04e17a4a17e87ee7284303e3","c7967ab8b40b6319ef8747099cd1efb4",1613,"MERS-CoV","Branching process","Not compartmental","Stochastic model",FALSE,NA,TRUE,FALSE,FALSE,TRUE,"Unspecified","Age dependent susceptibility"
"40459236cbbd5afad19550de9805eca2","9d7798c0642f1f7b074bd32cb8f89a5e",1657,"MERS-CoV","Branching process","Not compartmental",NA,FALSE,"Other",TRUE,FALSE,FALSE,FALSE,"Unspecified","Heterogenity in transmission rates - over time,Other"
"2ec2a51a714f19cfbd4edde8c778db71","4dbddec6edee776f27cd56dc53d2125b",1677,"MERS-CoV","Branching process","Not compartmental","Stochastic model",TRUE,"Unspecified",TRUE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Unspecified"
"d67479cd5eb3b8ca9662acc1ff259f8a","ac0089fa6600a6dc873b945a000c37ef",1874,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",FALSE,"Hospitals",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"53cf3d8a238487f98dde32f2da6344b5","905253df1f10c80cfdce3316f3a5ba4c",1904,"MERS-CoV","Branching process","Not compartmental","Stochastic model",FALSE,"Unspecified",TRUE,FALSE,FALSE,FALSE,"Unspecified","Other"
"3f77aac362fb8607a3a1af6ea869898b","12604e2c78d91289cdfffd3f52cf1383",1905,"MERS-CoV","Other","Not compartmental","Deterministic model",TRUE,"Unspecified",FALSE,FALSE,FALSE,TRUE,"Airborne or close contact","Heterogenity in transmission rates - between human groups"
"f95f807b8eab608b133d3ab61b0a672a","8efafa40075adb522a78bc5b32dc387a",1933,"MERS-CoV","Branching process","Not compartmental","Stochastic model",FALSE,NA,TRUE,TRUE,TRUE,TRUE,"Human to human (direct contact),Vector/Animal to human","Heterogenity in transmission rates - between human and vector,Heterogenity in transmission rates - over time,Other"
"3cf1fadded34daa317924ca03ca03995","34db04fbd56bf3a9856be058d7c22f5a",1947,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",FALSE,"Quarantine,Hospitals,Behaviour changes",TRUE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Heterogenity in transmission rates - over time,Other"
"ad778ae30d25686678a4eec4a7d167b2","587a9113f636898a83b8f5bb4119f4ea",1958,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing,Latent period is same as incubation period"
"ad778ae30d25686678a4eec4a7d167b2","35459f8485143f5bd42c49b1cdf268bf",1958,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",FALSE,"Quarantine,Other",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing,Latent period is same as incubation period"
"ce6600d01280835cebc0059f496e842a","95204bcf0f116c6eb2252e52b156b91c",2005,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",FALSE,NA,FALSE,FALSE,TRUE,FALSE,"Vector/Animal to human",NA
"30fd568e555649e97f38786ac83c191f","81ef1bc01285f66fcfb67519f6c6fb97",2007,"MERS-CoV","Branching process","Not compartmental","Stochastic model",FALSE,NA,TRUE,TRUE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Heterogenity in transmission rates - between human groups,Heterogenity in transmission rates - over time"
"83a1557cb35ed4415b73ea03adfa397f","9163796af8f23d47d1085710682e8b7c",2020,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",FALSE,"Behaviour changes",TRUE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing,Latent period is same as incubation period,Other"
"28e09e176169084627234ed008fc989e","753195a3176c3f9b53ae056df4e87634",2073,"MERS-CoV","Compartmental","SIR","Deterministic model",FALSE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing,Latent period is same as incubation period"
"e8c335bb901ee06d14ca505ecff30527","70882ef577e2e7db15ca14ce13fade0e",2214,"MERS-CoV","Agent / individual based","Not compartmental","Stochastic model",FALSE,"Quarantine",TRUE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Heterogenity in transmission rates - between human groups"
