"id","model_data_id","covidence_id","pathogen","model_type","compartmental_type","stoch_deter","theoretical_model","interventions_type","model_uncertainty","model_spatial","model_spillover","code_available","transmission_route","assumptions"
"aeb1aa4d5d38ef35baeed626edbc3cd5","3e6e43c75d3b6967f2d80b373391f267",2226,"MERS-CoV","Agent / individual based","Not compartmental","Deterministic model",FALSE,NA,FALSE,TRUE,FALSE,FALSE,"Airborne or close contact,Human to human (direct contact)","Other"
"5b3dbc34cf70444ec51a4d7861123e25","7f5f1a77c69119040b7ef8649885ca4f",2292,"MERS-CoV","Compartmental","SEIR","Stochastic model",TRUE,"Hospitals",TRUE,FALSE,FALSE,FALSE,"Unspecified","Homogeneous mixing"
"f09d6d864abf6adde2a342f0d7e21bf8","e53c4009fef207a1d8952118b8d36bd8",2294,"MERS-CoV","Unspecified",NA,NA,FALSE,"Hospitals",TRUE,FALSE,FALSE,FALSE,"Unspecified","Unspecified"
"588a51329d4987005b1ed7aa3dc5a1a2","6a653e955948964228ee4b645caf3ef0",2421,"MERS-CoV","Branching process","Not compartmental","Stochastic model",FALSE,"Hospitals,Behaviour changes",TRUE,FALSE,FALSE,TRUE,"Human to human (direct contact)","Homogeneous mixing,Other"
"061da41e122abe3e562ec49c749f433a","c19a78567197a855362ad97525ddc3f7",2459,"MERS-CoV","Compartmental","SIR","Stochastic model",FALSE,"Quarantine,Contact tracing,Hospitals",TRUE,TRUE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing,Heterogenity in transmission rates - over time"
"eeeec6bde32eaacad1cd93fba44dc0f9","d1c3facf76d6ab1697b0221e1e7cacd6",2496,"MERS-CoV","Unspecified","Not compartmental",NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,"Airborne or close contact,Human to human (direct contact)","Homogeneous mixing"
"e0c59c55207c8e2e97f10cecf8fb9d04","ff05890018fbd59edd39853a860be633",4734,"MERS-CoV","Branching process",NA,NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Other"
"50b393ac6f41485ad8b45b6a208e97c6","e8bb5ff007a3ba56b0e834be7b04d42c",4766,"MERS-CoV","Compartmental","Other compartmental, please specify","Stochastic model",FALSE,NA,TRUE,FALSE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Homogeneous mixing,Heterogenity in transmission rates - between human groups"
"3acea5924050a981fe20210d96834766","3d062d3b2ce8c920b95beb3f5d31d78e",4770,"MERS-CoV","Other","Not compartmental","Stochastic model",TRUE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Unspecified"
"3acea5924050a981fe20210d96834766","9006f44fb1d0644126305262ec5fc854",4770,"MERS-CoV","Compartmental","SEIR","Stochastic model",TRUE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing"
"d302c3d263bea9912407092248975387","f7063f8afea53d87c01e44f9acc3105f",4842,"MERS-CoV","Compartmental","SEIR","Stochastic model",FALSE,NA,FALSE,TRUE,TRUE,FALSE,"Human to human (direct contact)","Homogeneous mixing,Other"
"fc17d9fa18fdf9b28e8d864ca9e0dd96","f9b557744a9eb0f7ce090de930b9c40d",5087,"MERS-CoV","Branching process","Not compartmental","Stochastic model",TRUE,"Unspecified",TRUE,FALSE,FALSE,NA,"Unspecified","Age dependent susceptibility"
"4846d94d4e265fabc3e2cf45ee860376","32ef42e6a3e640603e00fc3dcaf3c4aa",5130,"MERS-CoV","Branching process","Not compartmental","Stochastic model",FALSE,"Unspecified",TRUE,FALSE,FALSE,TRUE,"Human to human (direct contact)","Homogeneous mixing"
"d83a0988aadcf09dc95566647dcc18b6","84c579b04459d69c8ef7681cf9e2c090",5136,"MERS-CoV","Branching process","Not compartmental","Stochastic model",FALSE,NA,TRUE,FALSE,TRUE,FALSE,"Human to human (direct contact),Vector/Animal to human","Heterogenity in transmission rates - over time"
"fc3a2f4a6b01c2b420310c8c84eb2c16","fd0d0ac4ee12c6491107868e1f994c9d",10317,"MERS-CoV","Compartmental","SIR","Stochastic model",FALSE,"Quarantine,Behaviour changes",FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Heterogenity in transmission rates - between human groups,Heterogenity in transmission rates - over time"
"8ce153ae5029247136cb5c861ac3012f","cc7609c3afee44037257639c7b404d62",10460,"MERS-CoV","Compartmental","Other compartmental, please specify","Deterministic model",TRUE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing,Other"
"8ce153ae5029247136cb5c861ac3012f","0fcc195cb6109c257694a0ee367207aa",10460,"MERS-CoV","Branching process","Not compartmental","Stochastic model",TRUE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Homogeneous mixing,Other"
"a1f905c401d6211803c159a041a59d3c","9fed2ea79345d7d2dc8eed07c1106226",10770,"MERS-CoV","Compartmental","SIS","Deterministic model",TRUE,NA,FALSE,FALSE,FALSE,FALSE,"Human to human (direct contact)","Heterogenity in transmission rates - between human groups"
