id,outbreak_data_id,covidence_id,pathogen,outbreak_start_day,outbreak_start_month,outbreak_start_year,outbreak_end_day,outbreak_end_month,outbreak_date_year,outbreak_duration_months,asymptomatic_transmission,outbreak_country,outbreak_location,cases_confirmed,cases_mode_detection,cases_suspected,cases_asymptomatic,cases_severe,deaths,pre_outbreak,ongoing
8fdea1afb902a4cfacf42853b8e222e6,f4299d05ee4ccd66d8e7c31791a2f9ba,1254,Lassa mammarenavirus,NA,Jan,2016,NA,Jun,2016,NA,FALSE,Liberia,Bong; Nimba; Montserrado,14,Molecular (PCR etc),14,NA,NA,19,Endemic equilibrium,FALSE
26839290fc754199f5fb8287714a2689,82e5d95e67ffbf56badee8f6848b2180,1272,Lassa mammarenavirus,NA,Oct,2015,NA,Feb,2016,NA,FALSE,Nigeria,Taraba; Edo; Lagos; Bauchi; Rivers; Gombe; Ekiti,47,Molecular (PCR etc),NA,NA,NA,28,Endemic equilibrium,FALSE
2c298b19cc69c9ac1aeedf4b8178f350,30cb31c87495d754385310ae1d5f86bf,1310,Lassa mammarenavirus,NA,Jan,1974,NA,Feb,1974,NA,FALSE,Nigeria,Onitsha,3,Molecular (PCR etc),NA,NA,NA,1,Unspecified,FALSE
d2ecc47171bdd43a29fed1a9e927fe9f,cb001054b9662bf7bfceaff3a036fe4b,1433,Lassa mammarenavirus,NA,Jan,1997,NA,Apr,1997,4,FALSE,Sierra Leone,Kenema ; Kailahun,NA,Molecular (PCR etc),NA,NA,352,NA,Unspecified,FALSE
f14b287ccc8da2a837c4d9d3ae2b3394,86fefbcfa0e6715e7355fae930c8ccde,1447,Lassa mammarenavirus,1,Jan,2012,25,Mar,2012,NA,FALSE,Nigeria,Ebonyi State,10,Molecular (PCR etc),10,NA,NA,6,Endemic equilibrium,FALSE
8321fdc6e9cc33f09d4f4c0e58c71c08,83bc94e420b12884eec0036be4caea4f,2589,Lassa mammarenavirus,1,Jan,2018,6,May,2018,4,FALSE,Nigeria,NA,423,Molecular (PCR etc),10,NA,NA,106,Endemic equilibrium,FALSE
8dcd9631796bbe52a7ae56ac6da2807a,da822d7af7d63b40c2170c835af2988c,2611,Lassa mammarenavirus,30,Oct,2019,16,Nov,2019,1,FALSE,Sierra Leone,Tonkolili District,3,Molecular (PCR etc),2,NA,NA,3,Endemic equilibrium,FALSE
e2d105ecdca74084b6c652802b2c4516,3d1ae4a5d64202801eb1023880cc84d1,2651,Lassa mammarenavirus,NA,Oct,2014,NA,Nov,2014,1,FALSE,Benin,Northern Benin,2,Molecular (PCR etc),11,NA,NA,11,Unspecified,FALSE
e2d105ecdca74084b6c652802b2c4516,d38236092243b817083ec27802c43b93,2651,Lassa mammarenavirus,NA,Dec,2015,NA,Mar,2016,3,FALSE,Benin,Borgou; Donga;Collines; Alibori; Plateau; Ouémé; Atlantique; Litoral,18,Molecular (PCR etc),3,NA,NA,11,Unspecified,FALSE
0917806f0819d3a2318412fdbbe70d4a,102ce34a6e9e768d3841366fca6c9c81,3635,Lassa mammarenavirus,1,Jan,2019,29,Dec,2019,12,FALSE,Nigeria,Edo; Ondo; Ebonyi,833,Molecular (PCR etc),5057,NA,NA,174,Unspecified,FALSE
a07d714192f45231e3edbb2921a3143c,2dbb85545fc17678fec712387bd9f0a4,3991,Lassa mammarenavirus,NA,NA,2018,NA,NA,2019,NA,FALSE,Nigeria,NA,1463,Molecular (PCR etc),NA,NA,NA,344,Endemic equilibrium,FALSE
c772c487685dfd7937fbdd62ceb345e2,ecdaa1da15ace6aa3b601483a15d0240,4314,Lassa mammarenavirus,NA,NA,2017,NA,NA,2017,NA,FALSE,Nigeria,NA,312,Unspecified,NA,NA,NA,78,Unspecified,FALSE
bd7b34286855ff335accb6bdbd83f694,323e39e17fca03ed666f5c0545e987a6,4316,Lassa mammarenavirus,1,Jan,2018,18,Mar,2018,NA,FALSE,Nigeria,Anambra; Bauchi; Benue; Delta; Ebonyi; Edo; Ekiti; Fct; Abuja; Gombe; Imo; Kaduna; Kogi; Lagos; Nasarawa; Ondo; Osun; Plateau; Rivers; Taraba,376,Unspecified,1495,NA,NA,95,Unspecified,FALSE
b895ff1b44ba2b783c78ba3185fb2c28,5b6b37f17d74f50b2d54e61edb597118,4745,Lassa mammarenavirus,NA,Mar,1972,NA,Apr,1972,NA,FALSE,Liberia,Zorzor,11,Unspecified,NA,NA,NA,4,Unspecified,FALSE
