id,outbreak_data_id,covidence_id,pathogen,asymptomatic_transmission,cases_asymptomatic,cases_confirmed,cases_mode_detection,cases_severe,cases_suspected,cases_unspecified,deaths,female_cases,male_cases,ongoing,outbreak_country,outbreak_date_year,outbreak_duration_months,outbreak_end_day,outbreak_end_month,outbreak_location,outbreak_start_day,outbreak_start_month,outbreak_start_year,population_size,pre_outbreak,prop_female_cases,prop_male_cases,type_cases_sex_disagg,outbreak_start_date,outbreak_end_date
5b14e5a2e5af795a6f4ed6801bf728ee,4a5eaab0417137d31929f5c42547beb6,212,Zika virus,FALSE,NA,72,Unspecified,NA,4567,NA,NA,NA,NA,FALSE,Jamaica,2016,NA,30,Jul,NA,30,Jan,2016,NA,NA,NA,NA,NA,2016-01-30,2016-07-30
06ab3ef43f032c6f7ea2b82a504df78d,fc021e46a45628397b461997de114bf4,268,Zika virus,FALSE,NA,NA,Symptoms,NA,25213,NA,NA,NA,NA,FALSE,Brazil,2016,NA,15,Apr,Rio De Janeiro,NA,Jan,2015,NA,Disease-free baseline,NA,NA,NA,2015-01-15,2016-04-15
a7c20ebeebef0cf7039d68563055a8d2,fbfa67e0510546c52d5bb00e4213fcac,422,Zika virus,FALSE,NA,1470,Symptoms,NA,NA,NA,NA,860,610,FALSE,Colombia,2015,3,31,Dec,Barranquilla,1,Oct,2015,NA,Disease-free baseline,0.59,0.41,Confirmed,2015-10-01,2015-12-31
839a729a72edf2a9f5e9389f5e5fbd07,4e874b2d73d07fdcd36c64f03ed3d309,435,Zika virus,FALSE,NA,51,Molecular (PCR etc),NA,89,NA,NA,33,18,FALSE,Chile,2014,NA,30,May,Easter Island,NA,Jan,2014,NA,Disease-free baseline,0.64,0.36,Confirmed,2014-01-15,2014-05-30
357b0bcc353b9a317cebaf140dddb071,1d08ae4c56264036f333ed09ad7474fa,674,Zika virus,FALSE,NA,NA,Symptoms,NA,3651,NA,NA,NA,NA,FALSE,Colombia,2016,10,10,Sep,Bucaramanga,13,Dec,2015,528269,Unspecified,NA,NA,NA,2015-12-13,2016-09-10
357b0bcc353b9a317cebaf140dddb071,fa4e6ace9bd7793a945df32451acfb70,674,Zika virus,FALSE,NA,NA,Symptoms,NA,12220,NA,NA,NA,NA,FALSE,Colombia,2016,10,10,Sep,Cali,13,Dec,2015,2394925,Unspecified,NA,NA,NA,2015-12-13,2016-09-10
357b0bcc353b9a317cebaf140dddb071,dc28f8165f80317aeb20551b087a7578,674,Zika virus,FALSE,NA,NA,Symptoms,NA,4287,NA,NA,NA,NA,FALSE,Colombia,2016,5,2,Apr,Cúcuta,22,Nov,2015,656380,Unspecified,NA,NA,NA,2015-11-22,2016-04-02
357b0bcc353b9a317cebaf140dddb071,5dbfb95f7bc97a51826b20c936052f0b,674,Zika virus,FALSE,NA,NA,Symptoms,NA,1940,NA,NA,NA,NA,FALSE,Colombia,2016,5,2,Apr,Nieva,22,Nov,2015,344026,Unspecified,NA,NA,NA,2015-11-22,2016-04-02
7d49b13bdf0eef103b35bbb481615a9d,6fe3879e8efc2bf2ea11298ba47bbb40,729,Zika virus,FALSE,NA,NA,Unspecified,NA,18364,NA,NA,NA,NA,FALSE,Colombia,2016,NA,NA,NA,NA,NA,Aug,2015,NA,NA,NA,NA,Suspected,2015-08-15,2016-01-15
ee91c0ab0659d374a528f3886de3fe72,da8fa32d7b12c9d9f4f1b49dda7dfe40,845,Zika virus,FALSE,NA,368,Molecular (PCR etc),NA,1717,NA,NA,224,NA,FALSE,Thailand,2017,24,NA,Dec,NA,NA,Jan,2016,NA,Unspecified,0.61,NA,NA,2016-01-15,2017-12-15
