id,model_data_id,covidence_id,pathogen,model_type,stoch_deter,transmission_route,compartmental_type,model_compartmental_other,assumptions,theoretical_model,interventions_type,code_available,model_notes,model_uncertainty,model_spatial,model_spillover,model_fitting_method,model_language,model_data,model_readme
2e5358679e004f88bc55cfc68b1d8408,69d73640738b2afb740da4cd8c7d1497,2768,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify","SIRS (human, pig and bat layers)","Homogeneous mixing,Heterogenity in transmission rates - between human and vector",FALSE,"Vector/Animal control,Other",FALSE,NA,TRUE,FALSE,TRUE,Latin Hypercube Sampling with Least squares,NA,Unspecified,FALSE
1bd30e1a46f30f6e760bf305ddbc705b,893b2bf083bcf9a3573ac3cf831ac556,2800,Nipah virus,Branching process,Stochastic model,Unspecified,Not compartmental,NA,Unspecified,FALSE,Unspecified,TRUE,"This is an extension of the Nishiura branching process model, and used to calculate the probability an epidemic is over",TRUE,FALSE,FALSE,It performs a calculation to generate the probability the epidemic is over.,R,Yes - on another platform,TRUE
b298ad00b28ef8e7969cc0ef90b0ab97,7632a5546932f1df610f8dd075631db4,2906,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),"Other compartmental, please specify",SVEIRD,Unspecified,FALSE,Safe burials,FALSE,"Data- is available on request  - Global model, safe burials considered",FALSE,FALSE,FALSE,NA,NA,Yes - on another platform,FALSE
d370b6c37dcba60a0691fac9cfdc1ffe,592041451b4f00ca9eba28ca558dbd2a,2916,Nipah virus,Compartmental,Stochastic model,Human to human (direct contact),SEIR,NA,NA,TRUE,Unspecified,FALSE,assumed uncertainty was considered as model was stochastic,TRUE,FALSE,FALSE,NA,NA,Unspecified,FALSE
d2f9e91081dbf71d85472888195eef36,b4777b84f0c02717d35677bd787b6a89,3017,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),"Other compartmental, please specify","susceptible, vaccinated, infected, treated, recovered, dead bodies. compartments for flying foxes as well",Other,FALSE,"Vaccination,Vector/Animal control,Treatment,Safe burials,Unspecified",FALSE,model fitted to yearly incidence,FALSE,FALSE,FALSE,stranded nonlinear least squares regression,NA,Not available,FALSE
cebd940056bc1be8d2e9b1751aa75b8e,6e91a57852250be69d1de9294ca11779,3028,Nipah virus,Compartmental,Stochastic model,Human to human (direct contact),SEIR,NA,Heterogenity in transmission rates - between human groups,TRUE,"Vaccination,Contact tracing,Hospitals",TRUE,"Only human-human transmission in model, but risk of emergence considered",TRUE,TRUE,TRUE,NA,Python,Yes - on Github,TRUE
e427c5ca74252fa056485d084b3d5d64,24a9463244769a2e8430be14f8ce4be5,3048,Nipah virus,Compartmental,Deterministic model,Vector/Animal to human,SIR,NA,Heterogenity in transmission rates - between human and vector,TRUE,NA,TRUE,NA,FALSE,FALSE,TRUE,NA,Matlab,Not available,FALSE
a0426117a55340de488a4573bfb443f4,bcbf051913ae2a6d65fac0a0c4cc3177,3357,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),"Other compartmental, please specify",SIRD,Other,TRUE,Safe burials,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE
4a5ecf0a179e532fa0dd0cb30296e004,99ffcf66eac248e3d771310bd1c41ba5,3359,Nipah virus,Compartmental,Deterministic model,Human to human (direct contact),"Other compartmental, please specify",SEIRD,Other,TRUE,Safe burials,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE
14e4af4c5acac3871e3d052079189685,20948fd617f99511955b4ac2176b7578,3361,Nipah virus,Compartmental,Deterministic model,"Human to human (direct contact),Vector/Animal to human","Other compartmental, please specify",SEIR-SEI type model with vaccination and protective behaviour,Homogeneous mixing,TRUE,"Vaccination,Behaviour changes",FALSE,NA,FALSE,FALSE,TRUE,NA,Python,NA,NA
