"id","parameter_data_id","covidence_id","pathogen","parameter_type","parameter_value","exponent","parameter_unit","parameter_lower_bound","parameter_upper_bound","parameter_value_type","parameter_uncertainty_single_value","parameter_uncertainty_single_type","parameter_uncertainty_lower_value","parameter_uncertainty_upper_value","parameter_uncertainty_type","cfr_ifr_numerator","cfr_ifr_denominator","distribution_type","distribution_par1_value","distribution_par1_type","distribution_par1_uncertainty","distribution_par2_value","distribution_par2_type","distribution_par2_uncertainty","method_from_supplement","method_moment_value","cfr_ifr_method","method_r","method_disaggregated_by","method_disaggregated","method_disaggregated_only","riskfactor_outcome","riskfactor_name","riskfactor_occupation","riskfactor_significant","riskfactor_adjusted","population_sex","population_sample_type","population_group","population_age_min","population_age_max","population_sample_size","population_country","population_location","population_study_start_day","population_study_start_month","population_study_start_year","population_study_end_day","population_study_end_month","population_study_end_year","genome_site","genomic_sequence_available","other_delay_start","other_delay_end","inverse_param","parameter_from_figure","r_pathway","parameter_class","parameter_bounds","comb_uncertainty_type","comb_uncertainty"
"94e5e0fe81a9c57d83a8118bdc7424c0","e3d694b5f43ea6ad6eaec16f98b3cd99",1693,"MERS-CoV","Severity - case fatality ratio (CFR)",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,5,30,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified","Naive",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"Both","Hospital based","Persons under investigation",NA,NA,30,"Republic of Korea","National Medical Center;  Korea",NA,"05","2015",NA,"07","2015",NA,NA,NA,NA,FALSE,FALSE,NA,"Severity",NA,NA,NA
"94e5e0fe81a9c57d83a8118bdc7424c0","dca391ea9475648b52f67ad674ced532",1693,"MERS-CoV","Human delay - symptom onset>death",15,0,"Days",NA,NA,"Median",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"Both","Hospital based","Persons under investigation",NA,NA,30,"Republic of Korea","National Medical Center;  Korea",NA,"05","2015",NA,"07","2015",NA,NA,NA,NA,FALSE,FALSE,NA,"Human delay",NA,NA,NA
"94e5e0fe81a9c57d83a8118bdc7424c0","5d9329ce84845d09b8ebcf38841d6814",1693,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unspecified",NA,NA,NA,FALSE,NA,"Death","Age,Comorbidity,Sex,Other",NA,"Not significant","Adjusted","Both","Hospital based","Persons under investigation",NA,NA,30,"Republic of Korea","National Medical Center;  Korea",NA,"05","2015",NA,"07","2015",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"6591f6c9ed6f3d6da33b89169d9eae2a","c88ec2a68d1f28c396d8b744a3105d0e",2151,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,"Other",TRUE,FALSE,"Infection","Age,Contact with animal,Sex,Other",NA,"Significant","Not adjusted","Both","Hospital based","Mixed groups",0,91,159,"Saudi Arabia","King Fahad Medical City (KFMC); Riyadh",NA,"10","2012",NA,"05","2014",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"6591f6c9ed6f3d6da33b89169d9eae2a","493c27acd513fb668782aece9906d054",2151,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,FALSE,NA,"Death","Age,Occupation","Healthcare","Significant","Adjusted","Both","Hospital based","Mixed groups",0,91,159,"Saudi Arabia","King Fahad Medical City (KFMC); Riyadh",NA,"10","2012",NA,"05","2014",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"6591f6c9ed6f3d6da33b89169d9eae2a","6e9622460fc2288317a9423c3962be2d",2151,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unspecified",NA,NA,NA,FALSE,NA,"Death","Comorbidity,Sex",NA,"Not significant","Adjusted","Both","Hospital based","Mixed groups",0,91,159,"Saudi Arabia","King Fahad Medical City (KFMC); Riyadh",NA,"10","2012",NA,"05","2014",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"6591f6c9ed6f3d6da33b89169d9eae2a","9afcab590569b530bcaaf6883dd5b6a1",2151,"MERS-CoV","Severity - case fatality ratio (CFR)",4.35,0,"Percentage (%)",NA,NA,"Unspecified",NA,NA,NA,NA,NA,1,23,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified","Naive",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"Both","Hospital based","Healthcare workers",24,74,23,"Saudi Arabia","King Fahad Medical City (KFMC); Riyadh",NA,"10","2012",NA,"05","2014",NA,NA,NA,NA,FALSE,FALSE,NA,"Severity",NA,NA,NA
"6591f6c9ed6f3d6da33b89169d9eae2a","577c525353600e7d5b0b0124c2465f24",2151,"MERS-CoV","Severity - case fatality ratio (CFR)",60,0,"Percentage (%)",NA,NA,"Unspecified",NA,NA,NA,NA,NA,16,25,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified","Naive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Hospital based","Persons with symptoms",12,77,25,"Saudi Arabia","King Fahad Medical City (KFMC); Riyadh",NA,"10","2012",NA,"05","2014",NA,NA,NA,NA,FALSE,FALSE,NA,"Severity",NA,NA,NA
"b1a264cf63419fd0ea99f3bf8f0ad9ec","967dd15b0ecba0450688c90dcbaa58a5",2221,"MERS-CoV","Human delay - incubation period",7,0,"Days",2,17,"Median",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,"Level of exposure",TRUE,FALSE,NA,NA,NA,NA,NA,"Both","Hospital based","Persons under investigation",NA,NA,73,"Republic of Korea","Samsung Medical Center; Seoul",NA,"05","2015",NA,"07","2015",NA,NA,NA,NA,FALSE,FALSE,NA,"Human delay","2 - 17",NA,NA
"b1a264cf63419fd0ea99f3bf8f0ad9ec","4321b996cb074c95ddb43d1509aec5a7",2221,"MERS-CoV","Attack rate",NA,0,"Percentage (%)",0,32,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,"Level of exposure; Time; Other",TRUE,TRUE,NA,NA,NA,NA,NA,"Both","Hospital based","Persons under investigation",NA,NA,NA,"Republic of Korea","Samsung Medical Center; Seoul",NA,"05","2015",NA,"07","2015",NA,NA,NA,NA,FALSE,FALSE,NA,"Attack rate","0 - 32",NA,NA
