"id","parameter_data_id","covidence_id","pathogen","parameter_type","parameter_value","exponent","parameter_unit","parameter_lower_bound","parameter_upper_bound","parameter_value_type","parameter_uncertainty_single_value","parameter_uncertainty_single_type","parameter_uncertainty_lower_value","parameter_uncertainty_upper_value","parameter_uncertainty_type","cfr_ifr_numerator","cfr_ifr_denominator","distribution_type","distribution_par1_value","distribution_par1_type","distribution_par1_uncertainty","distribution_par2_value","distribution_par2_type","distribution_par2_uncertainty","method_from_supplement","method_moment_value","cfr_ifr_method","method_r","method_disaggregated_by","method_disaggregated","method_disaggregated_only","riskfactor_outcome","riskfactor_name","riskfactor_occupation","riskfactor_significant","riskfactor_adjusted","population_sex","population_sample_type","population_group","population_age_min","population_age_max","population_sample_size","population_country","population_location","population_study_start_day","population_study_start_month","population_study_start_year","population_study_end_day","population_study_end_month","population_study_end_year","genome_site","genomic_sequence_available","other_delay_start","other_delay_end","inverse_param","parameter_from_figure","r_pathway","parameter_class","parameter_bounds","comb_uncertainty_type","comb_uncertainty"
"b1a264cf63419fd0ea99f3bf8f0ad9ec","007f4445e590f343f1e251f9b87886f3",2221,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,"Other","Other",NA,"Significant","Adjusted","Both","Hospital based","Persons under investigation",NA,NA,675,"Republic of Korea","Samsung Medical Center; Seoul",NA,"05","2015",NA,"07","2015",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"b1a264cf63419fd0ea99f3bf8f0ad9ec","a50c0370df7e1fece4b3f2510f879d8d",2221,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,FALSE,NA,"Other","Age,Comorbidity,Sex,Other",NA,"Not significant","Adjusted","Both","Hospital based","Persons under investigation",NA,NA,675,"Republic of Korea","Samsung Medical Center; Seoul",NA,"05","2015",NA,"07","2015",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"aeb1aa4d5d38ef35baeed626edbc3cd5","39540a3c70c2d82d35cb0ee0e11b2178",2226,"MERS-CoV","Attack rate",0.16,0,"Unspecified",0,1,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,"Other",TRUE,FALSE,NA,NA,NA,NA,NA,"Unspecified","Hospital based","Persons under investigation",NA,NA,NA,"Republic of Korea","Pyeongtaek St. Mary's Hospital; Seoul",NA,"05","2015",NA,"05","2015",NA,NA,NA,NA,FALSE,FALSE,NA,"Attack rate","0 - 1",NA,NA
"5af2150ddd8404953062779e35a2f196","6e32c82a84df46487ab76398bc476f95",2240,"MERS-CoV","Severity - case fatality ratio (CFR)",7,0,"Percentage (%)",NA,NA,"Unspecified",NA,NA,NA,NA,NA,2,27,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified","Naive",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"Both","Hospital based","Mixed groups",27,82,27,"United Arab Emirates","Abu Dhabi",1,"07","2013","09","05","2014",NA,NA,NA,NA,FALSE,FALSE,NA,"Severity",NA,NA,NA
"5af2150ddd8404953062779e35a2f196","c58ca7d54a97bf349828a0a2816db906",2240,"MERS-CoV","Severity - case fatality ratio (CFR)",0,0,"Percentage (%)",NA,NA,"Unspecified",NA,NA,NA,NA,NA,0,19,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified","Naive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Hospital based","Healthcare workers",27,63,19,"United Arab Emirates","Abu Dhabi",1,"07","2013","09","05","2014",NA,NA,NA,NA,FALSE,FALSE,NA,"Severity",NA,NA,NA
"5af2150ddd8404953062779e35a2f196","aaa97399b015decb2902bc30937950a4",2240,"MERS-CoV","Severity - symptomatic proportion of infections",59,0,"Percentage (%)",NA,NA,"Unspecified",NA,NA,NA,NA,NA,16,27,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified","Naive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Hospital based","Mixed groups",27,82,19,"United Arab Emirates","Abu Dhabi",1,"07","2013","09","05","2014",NA,NA,NA,NA,FALSE,FALSE,NA,"Severity",NA,NA,NA
"5af2150ddd8404953062779e35a2f196","c4cb5912123559808446b6b64a5b2d16",2240,"MERS-CoV","Severity - symptomatic proportion of infections",53,0,"Percentage (%)",NA,NA,"Unspecified",NA,NA,NA,NA,NA,10,19,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified","Naive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Hospital based","Mixed groups",27,63,19,"United Arab Emirates","Abu Dhabi",1,"07","2013","09","05","2014",NA,NA,NA,NA,FALSE,FALSE,NA,"Severity",NA,NA,NA
"175748f9891cc2adb30d3acd85bb6d8b","fdd0527cf86fddacd48eaca00cefaf27",2254,"MERS-CoV","Severity - case fatality ratio (CFR)",32,0,"Percentage (%)",3,61.3,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,"Other",TRUE,FALSE,NA,NA,NA,NA,NA,"Both","Mixed settings","Mixed groups",NA,NA,787,"Saudi Arabia",NA,NA,NA,"2012",NA,NA,"2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Severity","3 - 61.3",NA,NA
"175748f9891cc2adb30d3acd85bb6d8b","34f1b5244188628c3b1c42184668fb3c",2254,"MERS-CoV","Human delay - time in care (length of stay)",NA,0,"Days",12,39,"Median",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,"Other",TRUE,TRUE,NA,NA,NA,NA,NA,"Both","Mixed settings","Mixed groups",NA,NA,787,"Saudi Arabia",NA,NA,NA,"2012",NA,NA,"2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Human delay","12 - 39",NA,NA
"175748f9891cc2adb30d3acd85bb6d8b","7dcbdf5b75800017197df7af65c83c67",2254,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unspecified",NA,NA,NA,FALSE,NA,"Other","Age",NA,"Not significant","Not adjusted","Both","Mixed settings","Mixed groups",NA,NA,787,"Saudi Arabia",NA,NA,NA,"2012",NA,NA,"2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"175748f9891cc2adb30d3acd85bb6d8b","1467fef6bca7c06f885cae23af003e5d",2254,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,FALSE,NA,"Other","Comorbidity,Sex,Other",NA,"Significant","Not adjusted","Both","Mixed settings","Mixed groups",NA,NA,787,"Saudi Arabia",NA,NA,NA,"2012",NA,NA,"2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"175748f9891cc2adb30d3acd85bb6d8b","a9dd3c22de5108cd96d33ed73adfec1e",2254,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,FALSE,NA,"Death","Other",NA,"Significant","Not adjusted","Both","Mixed settings","Mixed groups",NA,NA,378,"Saudi Arabia",NA,NA,NA,"2012",NA,NA,"2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"175748f9891cc2adb30d3acd85bb6d8b","fce55876598a518dc4d3ab4276367813",2254,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unspecified",NA,NA,NA,FALSE,NA,"Death","Age,Comorbidity,Sex,Other",NA,"Unspecified","Not adjusted","Both","Mixed settings","Mixed groups",NA,NA,378,"Saudi Arabia",NA,NA,NA,"2012",NA,NA,"2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"175748f9891cc2adb30d3acd85bb6d8b","8df6c273d55722c9a9935daf9e9a9128",2254,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,NA,NA,"Other","Comorbidity",NA,"Significant","Adjusted","Both","Mixed settings","Mixed groups",NA,NA,787,"Saudi Arabia",NA,NA,NA,"2012",NA,NA,"2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"175748f9891cc2adb30d3acd85bb6d8b","dc4e2fec67721084dc8cbaef62c0d5d3",2254,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,NA,NA,"Other","Age,Occupation,Sex,Other","Healthcare","Not significant","Adjusted","Both","Mixed settings","Mixed groups",NA,NA,787,"Saudi Arabia",NA,NA,NA,"2012",NA,NA,"2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"175748f9891cc2adb30d3acd85bb6d8b","4b7418709dc970c191b98a1f28d4a2c4",2254,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,NA,NA,"Death","Age,Comorbidity,Occupation,Other","Healthcare","Significant","Adjusted","Both","Mixed settings","Mixed groups",NA,NA,787,"Saudi Arabia",NA,NA,NA,"2012",NA,NA,"2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"175748f9891cc2adb30d3acd85bb6d8b","de01b346ba7744f8779437fe54c7325a",2254,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,NA,NA,"Death","Sex,Other",NA,"Not significant","Adjusted","Both","Mixed settings","Mixed groups",NA,NA,787,"Saudi Arabia",NA,NA,NA,"2012",NA,NA,"2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"1a77fb5a079f866e02b3dbfc5fb6aa49","e4c1f72926645cac0edee8ec9f64e7c2",2257,"MERS-CoV","Seroprevalence - Unspecified",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,1,41,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified","Naive",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"Unspecified","Travel based","Persons under investigation",15,NA,41,"Türkiye","15 referral centres across Turkey",1,"01","2013","01","03","2015",NA,NA,NA,NA,FALSE,FALSE,NA,"Seroprevalence",NA,NA,NA
"980e3ee7de7b0943a1d08a9d3519a898","42de47481ec1400f8b841d01f15f2b01",2265,"MERS-CoV","Severity - case fatality ratio (CFR)",91.7,0,"Percentage (%)",NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"Both","Hospital based","Other",14,NA,48,"Saudi Arabia","King Fahd General Hospital in Jeddah and King Abdulaziz Medical City in Riyadh",NA,"09","2012",NA,"06","2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Severity",NA,NA,NA
"980e3ee7de7b0943a1d08a9d3519a898","d9ecd33180d1da0ab4c06766edcb3c08",2265,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,FALSE,NA,"Infection","Comorbidity",NA,"Significant","Not adjusted","Both","Hospital based","Other",14,NA,101,"Saudi Arabia","King Fahd General Hospital in Jeddah and King Abdulaziz Medical City in Riyadh",NA,"09","2012",NA,"06","2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"980e3ee7de7b0943a1d08a9d3519a898","fda6cf37cb221fec944fd15ee221400b",2265,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,"Infection","Age,Sex,Other",NA,"Not significant","Not adjusted","Both","Hospital based","Other",14,NA,101,"Saudi Arabia","King Fahd General Hospital in Jeddah and King Abdulaziz Medical City in Riyadh",NA,"09","2012",NA,"06","2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"980e3ee7de7b0943a1d08a9d3519a898","12bb4c289e72f6cc2e3efd37b88e4dcb",2265,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,FALSE,NA,"Infection","Other",NA,"Significant","Adjusted","Both","Hospital based","Other",14,NA,101,"Saudi Arabia","King Fahd General Hospital in Jeddah and King Abdulaziz Medical City in Riyadh",NA,"09","2012",NA,"06","2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"8071630c4fc0806191cf8fef223ce724","feb03f04e10421830d8e61b3cbb9a9be",2271,"MERS-CoV","Human delay - incubation period",7.4,0,"Days",NA,NA,"Median",NA,NA,6.9,8,"95% CI",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Post outbreak",NA,NA,"Disease generation; Method; Time; Other",TRUE,FALSE,NA,NA,NA,NA,NA,"Both","Hospital based","Persons under investigation",NA,NA,162,"Republic of Korea",NA,NA,"05","2015",NA,"02","2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Human delay",NA,"95% CI","6.9 - 8"
"8071630c4fc0806191cf8fef223ce724","c82be6e5d8cbc5fb7c4f292710126a77",2271,"MERS-CoV","Human delay - serial interval",12.9,0,"Days",NA,NA,"Median",NA,NA,12.2,13.5,"95% CI",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Post outbreak",NA,NA,"Time",TRUE,NA,NA,NA,NA,NA,NA,"Both","Hospital based","Persons under investigation",NA,NA,153,"Republic of Korea",NA,NA,"05","2015",NA,"02","2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Human delay",NA,"95% CI","12.2 - 13.5"
"8071630c4fc0806191cf8fef223ce724","7b4b5c1ce30c09976e2406d6b92c5cee",2271,"MERS-CoV","Severity - case fatality ratio (CFR)",NA,0,"Percentage (%)",6.9,25.8,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Post outbreak","Naive",NA,"Disease generation",TRUE,TRUE,NA,NA,NA,NA,NA,"Both","Hospital based","Persons under investigation",NA,NA,186,"Republic of Korea",NA,NA,"05","2015",NA,"02","2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Severity","6.9 - 25.8",NA,NA
"8071630c4fc0806191cf8fef223ce724","dc14bf50ad4e1180666d7b6c543a7271",2271,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Post outbreak",NA,NA,NA,NA,NA,"Other","Other",NA,"Significant","Not adjusted","Both","Hospital based","Persons under investigation",NA,NA,162,"Republic of Korea",NA,NA,"05","2015",NA,"02","2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"8071630c4fc0806191cf8fef223ce724","a6a9daadb82bfdb003225b2acec48dff",2271,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Post outbreak",NA,NA,NA,NA,NA,"Other","Age,Comorbidity,Sex,Other",NA,"Not significant","Not adjusted","Both","Hospital based","Persons under investigation",NA,NA,162,"Republic of Korea",NA,NA,"05","2015",NA,"02","2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"8071630c4fc0806191cf8fef223ce724","34748d427c36f776285303bc1b91584f",2271,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Post outbreak",NA,NA,NA,NA,NA,"Other","Other",NA,"Significant","Adjusted","Both","Hospital based","Persons under investigation",NA,NA,162,"Republic of Korea",NA,NA,"05","2015",NA,"02","2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"8071630c4fc0806191cf8fef223ce724","60029b949f0a0b7c47265792ad110f08",2271,"MERS-CoV","Risk factors",NA,0,NA,NA,NA,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Post outbreak",NA,NA,NA,NA,NA,"Other","Age,Comorbidity,Sex,Other",NA,"Not significant","Adjusted","Both","Hospital based","Persons under investigation",NA,NA,162,"Republic of Korea",NA,NA,"05","2015",NA,"02","2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Risk factors",NA,NA,NA
"8071630c4fc0806191cf8fef223ce724","e43b42e8641e50c1f4cd03fccf1c282a",2271,"MERS-CoV","Reproduction number (Effective, Re)",NA,0,"No units",0.23,28,"Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Post outbreak",NA,"Empirical (contact tracing)","Disease generation",TRUE,TRUE,NA,NA,NA,NA,NA,"Both","Hospital based","Persons under investigation",NA,NA,186,"Republic of Korea",NA,NA,"05","2015",NA,"06","2015",NA,NA,NA,NA,FALSE,FALSE,"Human-human","Reproduction number","0.23 - 28",NA,NA
"a7c4dde6afa87f4fca8ec3109ede4edc","4a584130bc259197dc8ff0388b1c0549",2273,"MERS-CoV","Severity - asymptomatic proportion of infections",0.06,0,"Percentage (%)",NA,NA,"Unspecified",NA,NA,0.002,0.346,"95% CI",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"Unspecified","Other","Persons under investigation",NA,NA,1610,"Republic of Korea","Seoul;  Gyeonggi;  Chungcheong;  Jeonbuk",NA,"08","2015",NA,"02","2016",NA,NA,NA,NA,FALSE,FALSE,NA,"Severity",NA,"95% CI","0.002 - 0.346"
"a05f1f0e4d32bdaf50f09b40fa48056c","840ee259d02f2dd1e11d26c25a4a2808",2277,"MERS-CoV","Human delay - other human delay (go to section)",11.9,0,"Days",NA,NA,"Mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"Both","Population based","Persons under investigation",NA,NA,765,"Saudi Arabia",NA,NA,"09","2012",NA,"10","2015",NA,NA,"symptom onset","confirmation",FALSE,FALSE,NA,"Human delay",NA,NA,NA
"a05f1f0e4d32bdaf50f09b40fa48056c","a75998061f01ceeb65f16542196a6101",2277,"MERS-CoV","Human delay - other human delay (go to section)",9.2,0,"Days",NA,NA,"Mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"Both","Population based","Persons under investigation",NA,NA,765,"Saudi Arabia",NA,NA,"09","2012",NA,"10","2015",NA,NA,"symptom onset","notification",FALSE,FALSE,NA,"Human delay",NA,NA,NA
"a05f1f0e4d32bdaf50f09b40fa48056c","141e67e029bf746c99a4bff99c692b8e",2277,"MERS-CoV","Human delay - symptom onset>death",19.5,0,"Days",NA,NA,"Mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Unspecified",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"Both","Population based","Persons under investigation",NA,NA,765,"Saudi Arabia",NA,NA,"09","2012",NA,"10","2015",NA,NA,NA,NA,FALSE,FALSE,NA,"Human delay",NA,NA,NA
